matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
1,27.08.2004,19:00,Al-Ittihad FC,Ohod,4,1,
2,27.08.2004,19:00,Al-Hilal,Al Taee,4,0,
3,27.08.2004,19:00,Al-Ettifaq,Al Wehda,2,0,
4,28.08.2004,19:00,Al-Shabab,Al Ansar,4,0,
5,28.08.2004,19:00,Al Qadisiya,Al-Nassr,1,2,
6,28.08.2004,19:00,Al Ahli SC,Al Riyadh,2,0,
7,02.09.2004,19:00,Ohod,Al-Shabab,0,2,
8,02.09.2004,19:00,Al-Nassr,Al-Ettifaq,1,0,
9,02.09.2004,19:00,Al Wehda,Al Ahli SC,3,0,
10,02.09.2004,19:00,Al Taee,Al-Ittihad FC,2,0,
11,02.09.2004,19:00,Al Qadisiya,Al-Hilal,3,3,
12,03.09.2004,19:00,Al Riyadh,Al Ansar,1,1,
13,06.09.2004,19:00,Al-Ettifaq,Al-Ittihad FC,1,1,
14,09.09.2004,19:00,Al Taee,Ohod,2,0,
15,09.09.2004,19:00,Al Riyadh,Al-Shabab,0,1,
16,09.09.2004,19:00,Al Ansar,Al Wehda,1,0,
17,10.09.2004,19:00,Al-Nassr,Al Ahli SC,3,1,
18,15.09.2004,19:00,Al Ansar,Al-Nassr,1,2,
19,15.09.2004,19:00,Al Ahli SC,Al-Hilal,3,0,
20,16.09.2004,19:00,Ohod,Al Qadisiya,1,1,
21,16.09.2004,19:00,Al-Shabab,Al Taee,2,1,
22,16.09.2004,19:00,Al Wehda,Al Riyadh,3,2,
23,22.09.2004,19:00,Al-Hilal,Al Ansar,0,1,
24,22.09.2004,19:00,Al Wehda,Al-Shabab,1,1,
25,22.09.2004,19:00,Al Qadisiya,Al Taee,3,1,
26,23.09.2004,19:00,Al-Ettifaq,Ohod,1,1,
27,23.09.2004,19:00,Al Riyadh,Al-Nassr,3,1,
28,26.09.2004,19:00,Al Ahli SC,Al-Ittihad FC,2,4,
29,29.09.2004,19:00,Al-Shabab,Al Qadisiya,2,0,
30,30.09.2004,19:00,Al-Nassr,Al Wehda,6,2,
31,01.10.2004,19:00,Ohod,Al Ahli SC,0,5,
32,01.10.2004,19:00,Al-Ittihad FC,Al Ansar,4,0,
33,01.10.2004,19:00,Al Taee,Al-Ettifaq,1,0,
34,01.10.2004,19:00,Al Riyadh,Al-Hilal,1,1,
35,08.10.2004,19:00,Al-Ittihad FC,Al Qadisiya,2,0,
36,10.10.2004,19:00,Al-Hilal,Al-Ettifaq,1,0,
37,15.10.2004,19:00,Al Wehda,Al-Ittihad FC,2,2,
38,15.10.2004,19:00,Al Taee,Al Ansar,1,1,
39,15.10.2004,19:00,Al Riyadh,Ohod,1,0,
40,16.10.2004,19:00,Al-Hilal,Al-Nassr,2,0,
41,16.10.2004,19:00,Al Qadisiya,Al Ahli SC,2,1,
42,17.10.2004,19:00,Al-Shabab,Al-Ettifaq,0,0,
43,21.10.2004,19:00,Al-Shabab,Al-Hilal,1,2,
44,21.10.2004,19:00,Al Ansar,Al Qadisiya,0,1,
45,22.10.2004,19:00,Ohod,Al Wehda,2,1,
46,22.10.2004,19:00,Al Taee,Al Riyadh,3,1,
47,27.10.2004,19:00,Al-Nassr,Ohod,2,0,
48,27.10.2004,19:00,Al Wehda,Al Taee,3,2,
49,27.10.2004,19:00,Al Qadisiya,Al Riyadh,1,1,
50,27.10.2004,19:00,Al Ansar,Al-Ettifaq,1,1,
51,29.10.2004,19:00,Al Ahli SC,Al-Shabab,1,0,
52,01.11.2004,20:00,Al-Nassr,Al-Shabab,0,2,
53,01.11.2004,20:00,Al-Ettifaq,Al Qadisiya,0,0,
54,01.11.2004,20:00,Al Ansar,Ohod,3,1,
55,01.11.2004,20:00,Al Ahli SC,Al Taee,3,0,
56,02.11.2004,20:00,Al Wehda,Al-Hilal,0,3,
57,08.11.2004,20:00,Al-Ittihad FC,Al Riyadh,4,1,
58,19.11.2004,20:00,Ohod,Al-Hilal,1,3,
59,19.11.2004,20:00,Al-Shabab,Al-Ittihad FC,1,1,
60,19.11.2004,20:00,Al Ahli SC,Al Ansar,6,1,
61,20.11.2004,20:00,Al Taee,Al-Nassr,2,0,
62,20.11.2004,20:00,Al Riyadh,Al-Ettifaq,2,1,
63,20.11.2004,20:00,Al Qadisiya,Al Wehda,1,1,
64,27.12.2004,20:00,Al-Ettifaq,Al Ahli SC,0,1,
65,27.12.2004,20:00,Al Ansar,Al-Hilal,1,3,
66,28.12.2004,20:00,Al-Ittihad FC,Al-Nassr,1,1,
67,31.12.2004,20:00,Ohod,Al Taee,0,1,
68,31.12.2004,20:00,Al Ahli SC,Al Wehda,1,0,
69,05.01.2005,20:00,Ohod,Al-Ittihad FC,1,3,
70,05.01.2005,20:00,Al Taee,Al-Hilal,1,2,
71,05.01.2005,20:00,Al Riyadh,Al Ahli SC,2,2,
72,06.01.2005,20:00,Al-Nassr,Al Qadisiya,2,1,
73,06.01.2005,20:00,Al Wehda,Al-Ettifaq,1,0,
74,06.01.2005,20:00,Al Ansar,Al-Shabab,3,6,
75,12.01.2005,20:00,Al-Shabab,Ohod,3,1,
76,12.01.2005,20:00,Al-Ettifaq,Al-Nassr,0,0,
77,12.01.2005,20:00,Al Ansar,Al Riyadh,2,1,
78,14.01.2005,20:00,Al-Ittihad FC,Al Taee,3,0,
79,14.01.2005,20:00,Al-Hilal,Al Qadisiya,1,0,
80,16.01.2005,20:00,Al-Shabab,Al Riyadh,3,1,
81,16.01.2005,20:00,Al Wehda,Al Ansar,1,1,
82,17.01.2005,20:00,Al-Ettifaq,Al-Hilal,0,3,
83,30.01.2005,20:00,Al-Hilal,Al-Ittihad FC,4,2,
84,02.02.2005,20:00,Al Taee,Al-Shabab,0,2,
85,02.02.2005,20:00,Al Riyadh,Al Wehda,1,2,
86,03.02.2005,20:00,Al-Nassr,Al Ansar,3,2,
87,04.02.2005,20:00,Al-Hilal,Al Ahli SC,2,1,
88,05.02.2005,20:00,Al-Ittihad FC,Al-Ettifaq,4,3,
89,05.02.2005,20:00,Al Qadisiya,Ohod,2,1,
90,22.02.2005,20:00,Al-Shabab,Al Wehda,2,1,
91,24.02.2005,20:00,Al-Nassr,Al Riyadh,3,1,
92,24.02.2005,20:00,Al Taee,Al Qadisiya,1,2,
93,26.02.2005,20:00,Ohod,Al-Ettifaq,1,2,
94,26.02.2005,20:00,Al-Ittihad FC,Al Ahli SC,3,2,
95,28.02.2005,20:00,Al Qadisiya,Al-Shabab,1,2,
96,10.03.2005,20:00,Al-Hilal,Al Riyadh,1,1,
97,10.03.2005,20:00,Al-Ettifaq,Al Taee,4,0,
98,10.03.2005,20:00,Al Wehda,Al-Nassr,2,2,
99,10.03.2005,20:00,Al Ansar,Al-Ittihad FC,3,2,
100,15.03.2005,20:00,Al Qadisiya,Al-Ittihad FC,3,2,
101,20.03.2005,20:00,Ohod,Al Ansar,2,2,
102,20.03.2005,20:00,Al Riyadh,Al-Ittihad FC,1,4,
103,20.03.2005,20:00,Al Qadisiya,Al-Ettifaq,1,1,
104,21.03.2005,20:00,Al-Hilal,Al Wehda,1,1,
105,22.03.2005,20:00,Al-Shabab,Al-Nassr,1,1,
106,22.03.2005,20:00,Al Taee,Al Ahli SC,1,1,
107,27.03.2005,19:00,Al Ahli SC,Al-Nassr,2,3,
