matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
108,04.05.2005,19:00,Ohod,Al Riyadh,2,2,
109,04.05.2005,19:00,Al-Ittihad FC,Al Wehda,3,3,
110,04.05.2005,19:00,Al-Ettifaq,Al-Shabab,0,3,
111,05.05.2005,19:00,Al-Nassr,Al-Hilal,1,1,
112,05.05.2005,19:00,Al Ansar,Al Taee,3,2,
113,08.05.2005,19:00,Al Ahli SC,Al Qadisiya,2,0,
114,12.05.2005,19:00,Al Wehda,Ohod,5,0,
115,12.05.2005,19:00,Al Riyadh,Al Taee,2,1,
116,17.05.2005,19:00,Ohod,Al-Nassr,3,1,
117,17.05.2005,19:00,Al-Ettifaq,Al Ansar,4,0,
118,17.05.2005,19:00,Al Taee,Al Wehda,1,0,
119,18.05.2005,19:00,Al Riyadh,Al Qadisiya,1,1,
120,26.05.2005,19:00,Al Qadisiya,Al Ansar,6,3,
121,28.05.2005,19:00,Al-Ittihad FC,Al-Hilal,2,1,
122,29.05.2005,19:00,Al Ahli SC,Ohod,3,0,
123,31.05.2005,19:00,Al Wehda,Al Qadisiya,3,2,
124,02.06.2005,19:00,Al-Shabab,Al Ahli SC,1,1,
125,11.06.2005,19:00,Al-Hilal,Al-Shabab,1,1,
126,12.06.2005,19:00,Al-Nassr,Al-Ittihad FC,3,2,
127,12.06.2005,19:00,Al Ahli SC,Al-Ettifaq,0,3,
128,16.06.2005,19:00,Al-Nassr,Al Taee,0,1,
129,16.06.2005,19:00,Al-Ittihad FC,Al-Shabab,0,2,
130,16.06.2005,19:00,Al-Hilal,Ohod,2,0,
131,16.06.2005,19:00,Al Ansar,Al Ahli SC,1,1,
132,18.06.2005,19:00,Al-Ettifaq,Al Riyadh,3,1,
133,20.06.2005,18:30,Al-Ittihad FC,Al-Nassr,6,0,Quarter-finals
134,07.07.2005,18:30,Al-Hilal,Al-Ittihad FC,1,0,Semi-finals
135,15.07.2005,18:30,Al-Shabab,Al-Hilal,0,1,Final
