matchNo,Round,Date,Time,Team1,Team2,Score1,Score2,Note
104,15,01.01.2017,19:50,Al-Nassr,Al-Ettifaq,2,0,
105,15,03.01.2017,19:50,Al-Ittihad FC,Al Khaleej,1,1,
106,16,26.01.2017,18:25,Al-Raed,Al-Taawon,3,2,
107,16,26.01.2017,20:15,Al Qadisiya,Al-Nassr,3,2,
108,16,27.01.2017,15:35,Al Batin,Al Khaleej,1,0,
109,16,27.01.2017,18:05,Al-Fateh,Al-Faisaly,1,0,
110,16,27.01.2017,20:15,Al Ahli SC,Al-Shabab,3,1,
111,16,28.01.2017,20:15,Al-Ittihad FC,Al Wehda,1,0,
112,16,28.01.2017,20:15,Al-Ettifaq,Al-Hilal,0,1,
113,17,01.02.2017,18:05,Al-Fateh,Al-Raed,3,1,
114,17,01.02.2017,18:25,Al-Taawon,Al-Shabab,2,0,
115,17,02.02.2017,15:35,Al Batin,Al-Ettifaq,2,0,
116,17,02.02.2017,20:20,Al-Hilal,Al Qadisiya,1,1,
117,17,03.02.2017,20:20,Al-Ittihad FC,Al Ahli SC,1,4,
118,17,04.02.2017,18:50,Al Wehda,Al-Faisaly,0,1,
119,17,04.02.2017,20:20,Al Khaleej,Al-Nassr,0,3,
120,18,09.02.2017,20:15,Al-Faisaly,Al-Hilal,0,2,
121,18,09.02.2017,20:15,Al Qadisiya,Al Ahli SC,4,1,
122,18,10.02.2017,18:25,Al-Shabab,Al Khaleej,1,1,
123,18,10.02.2017,20:15,Al-Nassr,Al Wehda,2,1,
124,18,11.02.2017,18:10,Al-Ettifaq,Al-Fateh,2,2,
125,18,11.02.2017,20:15,Al-Taawon,Al-Ittihad FC,1,2,
126,18,12.02.2017,18:35,Al-Raed,Al Batin,2,1,
127,19,16.02.2017,18:15,Al-Fateh,Al-Taawon,0,2,
128,19,16.02.2017,20:25,Al-Hilal,Al Khaleej,4,0,
129,19,17.02.2017,18:35,Al-Faisaly,Al-Raed,1,1,
130,19,17.02.2017,20:25,Al Wehda,Al-Ettifaq,2,1,
131,19,17.02.2017,20:25,Al Ahli SC,Al-Nassr,0,2,
132,19,18.02.2017,18:15,Al Qadisiya,Al Batin,1,1,
133,19,18.02.2017,20:25,Al-Shabab,Al-Ittihad FC,0,2,
134,20,02.03.2017,20:30,Al-Ettifaq,Al-Raed,0,1,
135,20,03.03.2017,18:35,Al Batin,Al Wehda,1,1,
136,20,03.03.2017,20:30,Al-Nassr,Al-Faisaly,0,0,
137,20,04.03.2017,18:25,Al-Fateh,Al-Shabab,1,1,
138,20,04.03.2017,18:45,Al-Taawon,Al Qadisiya,1,3,
139,20,04.03.2017,20:30,Al Khaleej,Al Ahli SC,2,2,
140,20,05.03.2017,20:30,Al-Ittihad FC,Al-Hilal,1,3,
141,21,09.03.2017,18:50,Al-Taawon,Al-Ettifaq,1,0,
142,21,09.03.2017,20:35,Al-Hilal,Al-Fateh,1,0,
143,21,09.03.2017,20:35,Al Wehda,Al Ahli SC,1,3,
144,21,11.03.2017,18:25,Al Khaleej,Al Qadisiya,2,1,
145,21,11.03.2017,20:35,Al-Shabab,Al-Faisaly,1,2,
146,21,14.03.2017,18:40,Al Batin,Al-Ittihad FC,0,1,
147,21,14.03.2017,20:35,Al-Raed,Al-Nassr,0,1,
148,22,06.04.2017,18:40,Al Qadisiya,Al-Fateh,1,2,
149,22,06.04.2017,19:00,Al-Faisaly,Al-Taawon,1,0,
150,22,06.04.2017,20:40,Al-Raed,Al-Hilal,0,3,
151,22,07.04.2017,20:40,Al-Nassr,Al-Ittihad FC,1,1,
152,22,07.04.2017,20:40,Al Ahli SC,Al Batin,1,1,
153,22,08.04.2017,18:40,Al-Ettifaq,Al Khaleej,3,1,
154,22,08.04.2017,20:40,Al Wehda,Al-Shabab,1,2,
155,23,13.04.2017,19:00,Al-Faisaly,Al-Ettifaq,3,3,
156,23,13.04.2017,20:45,Al-Shabab,Al-Raed,1,2,
157,23,14.04.2017,18:45,Al Khaleej,Al Wehda,4,2,
158,23,14.04.2017,20:45,Al-Ittihad FC,Al Qadisiya,4,2,
159,23,15.04.2017,18:45,Al-Fateh,Al Batin,3,2,
160,23,15.04.2017,20:45,Al-Nassr,Al-Taawon,2,1,
161,23,15.04.2017,20:45,Al-Hilal,Al Ahli SC,0,0,
162,24,20.04.2017,19:10,Al-Taawon,Al Khaleej,0,0,
163,24,20.04.2017,20:45,Al-Shabab,Al-Hilal,1,2,
164,24,20.04.2017,20:45,Al Wehda,Al-Fateh,1,2,
165,24,20.04.2017,20:45,Al Ahli SC,Al-Faisaly,2,1,
166,24,21.04.2017,19:05,Al Batin,Al-Nassr,4,3,
167,24,21.04.2017,19:10,Al-Raed,Al Qadisiya,2,1,
168,24,21.04.2017,20:45,Al-Ettifaq,Al-Ittihad FC,1,4,
169,25,29.04.2017,20:50,Al-Taawon,Al Batin,4,3,
170,25,29.04.2017,20:50,Al-Nassr,Al-Shabab,1,0,
171,25,29.04.2017,20:50,Al-Ittihad FC,Al-Faisaly,2,2,
172,25,29.04.2017,20:50,Al Wehda,Al-Hilal,1,3,
173,25,29.04.2017,20:50,Al Qadisiya,Al-Ettifaq,1,1,
174,25,29.04.2017,20:50,Al Khaleej,Al-Fateh,1,1,
175,25,30.04.2017,20:30,Al-Raed,Al Ahli SC,1,3,
176,26,03.05.2017,18:55,Al-Ettifaq,Al-Shabab,0,1,
177,26,04.05.2017,20:50,Al-Hilal,Al-Nassr,5,1,
178,26,04.05.2017,20:50,Al-Fateh,Al-Ittihad FC,4,1,
179,26,04.05.2017,20:50,Al-Faisaly,Al Batin,2,2,
180,26,04.05.2017,20:50,Al Qadisiya,Al Wehda,3,1,
181,26,04.05.2017,20:50,Al Khaleej,Al-Raed,1,2,
182,26,04.05.2017,20:50,Al Ahli SC,Al-Taawon,2,1,
183,Relegation,11.05.2017,19:15,Najran,Al Batin,0,1,Relegation
184,Relegation,16.05.2017,19:20,Al Batin,Najran,2,2,Relegation
