matchNo,Round,Date,Time,Team1,Team2,Score1,Score2,Note
1,1,11.08.2016,19:10,Al-Shabab,Al Qadisiya,0,0,
2,1,11.08. 2016,21:05,Al-Raed,Al-Ittihad FC,2,3,
3,1,12.08.2016,19:10,Al-Faisaly,Al Khaleej,3,1,
4,1,12.08.2016,21:05,Al-Nassr,Al-Fateh,4,1,
5,1,12.08.2016,21:05,Al Wehda,Al-Taawon,3,2,
6,1,13.08.2016,20:45,Al-Hilal,Al Batin,2,0,
7,1,14.08.2016,20:45,Al-Ettifaq,Al Ahli SC,1,4,
8,2,18.08.2016,20:45,Al-Raed,Al Wehda,3,1,
9,2,19.08.2016,18:50,Al Qadisiya,Al-Faisaly,1,1,
10,2,19.08.2016,21:05,Al-Taawon,Al-Hilal,0,2,
11,2,20.08.2016,19:10,Al Batin,Al-Shabab,1,0,
12,2,20.08.2016,21:05,Al-Fateh,Al Ahli SC,0,1,
13,2,20.08.2016,21:05,Al-Ettifaq,Al-Nassr,1,0,
14,2,20.08.2016,21:05,Al Khaleej,Al-Ittihad FC,2,3,
15,3,16.09.2016,18:25,Al Khaleej,Al Batin,2,2,
16,3,16.09.2016,18:45,Al-Taawon,Al-Raed,2,1,
17,3,16.09.2016,20:45,Al-Hilal,Al-Ettifaq,1,2,
18,3,17.09.2016,18:40,Al-Faisaly,Al-Fateh,0,0,
19,3,17.09.2016,20:45,Al-Nassr,Al Qadisiya,1,0,
20,3,18.09.2016,20:45,Al-Shabab,Al Ahli SC,3,2,
21,3,18.09.2016,20:45,Al Wehda,Al-Ittihad FC,3,5,
22,4,21.09.2016,20:25,Al-Ettifaq,Al Batin,2,1,
23,4,22.09.2016,18:40,Al-Raed,Al-Fateh,3,2,
24,4,22.09.2016,20:25,Al-Nassr,Al Khaleej,0,1,
25,4,22.09.2016,20:25,Al Qadisiya,Al-Hilal,1,2,
26,4,23.09.2016,18:30,Al-Shabab,Al-Taawon,2,2,
27,4,23.09.2016,18:35,Al-Faisaly,Al Wehda,2,1,
28,4,23.09.2016,20:45,Al Ahli SC,Al-Ittihad FC,1,1,
29,5,14.10.2016,17:55,Al-Fateh,Al-Ettifaq,0,0,
30,5,14.10.2016,17:55,Al Khaleej,Al-Shabab,1,2,
31,5,14.10.2016,18:10,Al Batin,Al-Raed,4,0,
32,5,14.10.2016,20:15,Al-Ittihad FC,Al-Taawon,3,1,
33,5,15.10.2016,20:00,Al-Hilal,Al-Faisaly,4,0,
34,5,15.10.2016,20:00,Al Wehda,Al-Nassr,0,3,
35,5,15.10.2016,20:00,Al Ahli SC,Al Qadisiya,2,0,
36,6,20.10.2016,18:10,Al-Taawon,Al-Fateh,0,0,
37,6,20.10.2016,20:00,Al Khaleej,Al-Hilal,1,6,
38,6,20.10.2016,20:15,Al-Ittihad FC,Al-Shabab,0,1,
39,6,21.10.2016,17:45,Al-Ettifaq,Al Wehda,1,3,
40,6,21.10.2016,18:00,Al Batin,Al Qadisiya,1,1,
41,6,21.10.2016,18:10,Al-Raed,Al-Faisaly,1,0,
42,6,21.10.2016,20:15,Al-Nassr,Al Ahli SC,1,0,
43,7,28.10.2016,17:40,Al Qadisiya,Al-Taawon,0,1,
44,7,28.10.2016,18:00,Al-Raed,Al-Ettifaq,2,0,
45,7,28.10.2016,20:00,Al-Hilal,Al-Ittihad FC,0,2,
46,7,29.10.2016,18:10,Al-Shabab,Al-Fateh,2,0,
47,7,29.10.2016,19:50,Al-Faisaly,Al-Nassr,1,2,
48,7,29.10.2016,19:50,Al Wehda,Al Batin,5,1,
49,7,29.10.2016,20:00,Al Ahli SC,Al Khaleej,4,1,
50,8,03.11.2016,17:55,Al-Faisaly,Al-Shabab,0,1,
51,8,03.11.2016,19:50,Al-Nassr,Al-Raed,3,1,
52,8,03.11.2016,20:00,Al-Ittihad FC,Al Batin,2,0,
53,8,04.11.2016,17:35,Al Qadisiya,Al Khaleej,0,0,
54,8,04.11.2016,20:00,Al Ahli SC,Al Wehda,4,0,
55,8,05.11.2016,17:35,Al-Ettifaq,Al-Taawon,3,0,
56,8,05.11.2016,20:00,Al-Fateh,Al-Hilal,0,1,
57,9,18.11.2016,17:35,Al-Fateh,Al Qadisiya,1,1,
58,9,18.11.2016,19:45,Al-Taawon,Al-Faisaly,0,0,
59,9,19.11.2016,17:35,Al Khaleej,Al-Ettifaq,1,2,
60,9,19.11.2016,19:45,Al-Shabab,Al Wehda,0,0,
61,9,20.11.2016,19:45,Al-Hilal,Al-Raed,2,1,
62,9,20.11.2016,19:45,Al Batin,Al Ahli SC,0,1,
63,9,20.11.2016,19:55,Al-Ittihad FC,Al-Nassr,0,1,
64,10,24.11.2016,17:30,Al-Ettifaq,Al-Faisaly,3,1,
65,10,24.11.2016,19:40,Al Wehda,Al Khaleej,1,2,
66,10,25.11.2016,17:40,Al Batin,Al-Fateh,1,1,
67,10,25.11.2016,17:50,Al-Taawon,Al-Nassr,2,1,
68,10,25.11.2016,20:00,Al Ahli SC,Al-Hilal,1,2,
69,10,26.11.2016,17:55,Al-Raed,Al-Shabab,2,2,
70,10,26.11.2016,19:50,Al Qadisiya,Al-Ittihad FC,0,3,
71,11,01.12.2016,19:40,Al-Nassr,Al Batin,4,0,
72,11,01.12.2016,19:40,Al-Faisaly,Al Ahli SC,3,6,
73,11,02.12.2016,17:25,Al Qadisiya,Al-Raed,3,0,
74,11,02.12.2016,19:40,Al-Ittihad FC,Al-Ettifaq,4,1,
75,11,02.12.2016,19:55,Al-Hilal,Al-Shabab,3,0,
76,11,03.12.2016,14:45,Al-Fateh,Al Wehda,4,2,
77,11,03.12.2016,17:30,Al Khaleej,Al-Taawon,0,1,
78,12,08.12.2016,17:40,Al Batin,Al-Taawon,1,0,
79,12,08.12.2016,19:55,Al-Hilal,Al Wehda,6,0,
80,12,09.12.2016,17:30,Al-Ettifaq,Al Qadisiya,2,2,
81,12,09.12.2016,19:55,Al-Shabab,Al-Nassr,1,1,
82,12,09.12.2016,19:55,Al Ahli SC,Al-Raed,1,0,
83,12,10.12.2016,14:55,Al-Fateh,Al Khaleej,2,4,
84,12,10.12.2016,19:45,Al-Faisaly,Al-Ittihad FC,2,4,
85,13,14.12.2016,19:45,Al Wehda,Al Qadisiya,2,5,
86,13,15.12.2016,15:05,Al Batin,Al-Faisaly,0,0,
87,13,15.12.2016,17:50,Al-Shabab,Al-Ettifaq,1,1,
88,13,16.12.2016,17:55,Al-Raed,Al Khaleej,3,2,
89,13,16.12.2016,20:00,Al-Nassr,Al-Hilal,1,1,
90,13,17.12.2016,18:25,Al-Ittihad FC,Al-Fateh,3,2,
91,13,17.12.2016,19:45,Al-Taawon,Al Ahli SC,2,3,
92,14,21.12.2016,17:30,Al Qadisiya,Al-Shabab,1,1,
93,14,21.12.2016,17:40,Al Batin,Al-Hilal,0,2,
94,14,21.12.2016,19:45,Al-Fateh,Al-Nassr,1,2,
95,14,22.12.2016,17:30,Al Khaleej,Al-Faisaly,1,1,
96,14,22.12.2016,19:45,Al Ahli SC,Al-Ettifaq,4,1,
97,14,23.12.2016,18:00,Al-Taawon,Al Wehda,3,1,
98,14,23.12.2016,19:45,Al-Ittihad FC,Al-Raed,3,2,
99,15,29.12.2016,18:00,Al-Faisaly,Al Qadisiya,3,2,
100,15,30.12.2016,17:55,Al-Shabab,Al Batin,3,1,
101,15,30.12.2016,19:50,Al Wehda,Al-Raed,2,1,
102,15,31.12.2016,19:50,Al-Hilal,Al-Taawon,4,2,
103,15,31.12.2016,19:50,Al Ahli SC,Al-Fateh,2,0,
