matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
1,28.08.2003,19:00,Al-Shabab,Al Taee,7,0,
2,28.08.2003,19:00,Al-Ettifaq,Al-Hilal,0,0,
3,29.08.2003,19:00,Al-Nassr,Al-Shoalah,3,0,
4,29.08.2003,19:00,Al Qadisiya,Al Riyadh,4,0,
5,29.08.2003,19:00,Al Khaleej,Al-Ittihad FC,0,4,
6,03.09.2003,19:00,Al-Shoalah,Al Ahli SC,3,1,
7,03.09.2003,19:00,Al-Hilal,Al-Shabab,2,2,
8,03.09.2003,19:00,Al Taee,Al-Nassr,1,2,
9,04.09.2003,19:00,Al-Ittihad FC,Al Wehda,4,2,
10,04.09.2003,19:00,Al-Ettifaq,Al Qadisiya,4,2,
11,04.09.2003,19:00,Al Riyadh,Al Khaleej,2,0,
12,11.09.2003,19:00,Al-Nassr,Al-Hilal,1,1,
13,11.09.2003,19:00,Al Wehda,Al-Shoalah,2,1,
14,11.09.2003,19:00,Al Qadisiya,Al-Shabab,1,1,
15,11.09.2003,19:00,Al Ahli SC,Al Taee,1,0,
16,12.09.2003,19:00,Al Riyadh,Al-Ittihad FC,1,2,
17,12.09.2003,19:00,Al Khaleej,Al-Ettifaq,1,2,
18,16.09.2003,19:00,Al-Shabab,Al Khaleej,1,4,
19,16.09.2003,19:00,Al-Ittihad FC,Al-Shoalah,3,1,
20,16.09.2003,19:00,Al-Hilal,Al Ahli SC,2,1,
21,16.09.2003,19:00,Al-Ettifaq,Al Riyadh,0,1,
22,16.09.2003,19:00,Al Taee,Al Wehda,1,6,
23,16.09.2003,19:00,Al Qadisiya,Al-Nassr,1,2,
24,19.09.2003,19:00,Al Wehda,Al-Hilal,3,2,
25,20.09.2003,19:00,Al-Shoalah,Al Taee,1,0,
26,20.09.2003,19:00,Al-Nassr,Al Khaleej,2,1,
27,20.09.2003,19:00,Al-Ittihad FC,Al-Ettifaq,5,0,
28,20.09.2003,19:00,Al Riyadh,Al-Shabab,1,3,
29,25.09.2003,19:00,Al-Shabab,Al-Ettifaq,4,3,
30,25.09.2003,19:00,Al Wehda,Al Qadisiya,0,1,
31,25.09.2003,19:00,Al Khaleej,Al Ahli SC,2,0,
32,26.09.2003,19:00,Al-Shoalah,Al-Hilal,0,3,
33,26.09.2003,19:00,Al Taee,Al-Ittihad FC,0,3,
34,26.09.2003,19:00,Al Riyadh,Al-Nassr,0,3,
35,19.10.2003,19:00,Al Khaleej,Al Wehda,4,6,
36,20.10.2003,19:00,Al-Ittihad FC,Al-Shabab,4,3,
37,20.10.2003,19:00,Al-Hilal,Al Taee,1,2,
38,20.10.2003,19:00,Al Qadisiya,Al-Shoalah,4,0,
39,21.10.2003,19:00,Al-Ettifaq,Al-Nassr,1,1,
40,21.10.2003,19:00,Al Ahli SC,Al Riyadh,1,1,
41,24.10.2003,19:00,Al-Hilal,Al-Ittihad FC,0,0,
42,24.10.2003,19:00,Al Taee,Al Qadisiya,3,1,
43,25.10.2003,19:00,Al-Shoalah,Al Khaleej,3,3,
44,25.10.2003,19:00,Al-Nassr,Al-Shabab,2,1,
45,25.10.2003,19:00,Al Wehda,Al Riyadh,0,0,
46,25.10.2003,19:00,Al Ahli SC,Al-Ettifaq,1,1,
47,28.10.2003,20:00,Al Ahli SC,Al Wehda,1,0,
48,30.10.2003,20:00,Al-Ettifaq,Al Wehda,1,1,
49,30.10.2003,20:00,Al Riyadh,Al-Shoalah,3,2,
50,31.10.2003,20:00,Al Khaleej,Al Taee,1,2,
51,07.11.2003,20:00,Al-Shoalah,Al-Ettifaq,0,3,
52,07.11.2003,20:00,Al-Ittihad FC,Al Qadisiya,2,1,
53,07.11.2003,20:00,Al-Hilal,Al Khaleej,2,0,
54,07.11.2003,20:00,Al Taee,Al Riyadh,0,0,
55,08.11.2003,20:00,Al-Nassr,Al Ahli SC,0,2,
56,08.11.2003,20:00,Al Wehda,Al-Shabab,1,3,
57,12.11.2003,20:00,Al Riyadh,Al-Hilal,1,2,
58,12.11.2003,20:00,Al Qadisiya,Al Khaleej,1,0,
59,13.11.2003,20:00,Al-Shabab,Al-Shoalah,3,1,
60,13.11.2003,20:00,Al-Ettifaq,Al Taee,0,2,
61,13.11.2003,20:00,Al Wehda,Al-Nassr,1,3,
62,13.11.2003,20:00,Al Ahli SC,Al-Ittihad FC,1,1,
63,16.11.2003,20:00,Al-Shabab,Al Ahli SC,1,0,
64,16.11.2003,20:00,Al-Ittihad FC,Al-Nassr,2,1,
65,16.11.2003,20:00,Al Qadisiya,Al-Hilal,0,2,
66,19.11.2003,20:00,Al Ahli SC,Al Qadisiya,1,1,
67,28.11.2003,20:00,Al Taee,Al-Shabab,2,0,
68,29.11.2003,20:00,Al-Ittihad FC,Al Khaleej,4,0,
69,29.11.2003,20:00,Al-Hilal,Al-Ettifaq,1,0,
70,29.11.2003,20:00,Al Wehda,Al Ahli SC,0,1,
71,30.11.2003,20:00,Al-Shoalah,Al-Nassr,1,4,
72,30.11.2003,20:00,Al Riyadh,Al Qadisiya,1,2,
73,08.12.2003,20:00,Al-Nassr,Al Taee,0,3,
74,08.12.2003,20:00,Al Qadisiya,Al-Ettifaq,0,4,
75,08.12.2003,20:00,Al Khaleej,Al Riyadh,1,1,
76,15.01.2004,20:00,Al-Shoalah,Al Wehda,1,0,
77,15.01.2004,20:00,Al-Ittihad FC,Al Riyadh,3,0,
78,15.01.2004,20:00,Al-Hilal,Al-Nassr,1,2,
79,15.01.2004,20:00,Al Taee,Al Ahli SC,0,0,
80,16.01.2004,20:00,Al-Shabab,Al Qadisiya,3,1,
81,16.01.2004,20:00,Al-Ettifaq,Al Khaleej,2,0,
82,16.01.2004,20:00,Al Riyadh,Al-Ettifaq,0,2,
83,20.01.2004,20:00,Al-Shoalah,Al-Ittihad FC,0,1,
84,20.01.2004,20:00,Al-Nassr,Al Qadisiya,0,1,
85,22.01.2004,20:00,Al Wehda,Al Taee,2,1,
86,22.01.2004,20:00,Al Khaleej,Al-Shabab,0,2,
87,26.01.2004,20:00,Al-Hilal,Al Wehda,3,1,
88,26.01.2004,20:00,Al Qadisiya,Al Ahli SC,1,1,
89,27.01.2004,20:00,Al-Ettifaq,Al-Ittihad FC,0,3,
90,28.01.2004,20:00,Al-Shabab,Al Riyadh,5,0,
91,28.01.2004,20:00,Al Taee,Al-Shoalah,0,1,
92,28.01.2004,20:00,Al Khaleej,Al-Nassr,2,3,
93,05.02.2004,20:00,Al Qadisiya,Al Wehda,1,2,
94,07.02.2004,20:00,Al-Nassr,Al Riyadh,0,1,
95,09.02.2004,20:00,Al-Ittihad FC,Al Taee,6,0,
96,09.02.2004,20:00,Al-Hilal,Al-Shoalah,6,0,
97,09.02.2004,20:00,Al-Ettifaq,Al-Shabab,1,1,
98,10.02.2004,20:00,Al Ahli SC,Al Khaleej,3,1,
99,13.02.2004,20:00,Al-Nassr,Al-Ettifaq,0,2,
100,13.02.2004,20:00,Al Taee,Al-Hilal,0,1,
101,14.02.2004,20:00,Al-Shoalah,Al Qadisiya,0,0,
102,15.02.2004,20:00,Al Wehda,Al Khaleej,2,1,
103,15.02.2004,20:00,Al Riyadh,Al Ahli SC,0,2,
104,19.02.2004,20:00,Al Riyadh,Al Wehda,4,2,
105,19.02.2004,20:00,Al Khaleej,Al-Shoalah,3,2,
106,20.02.2004,20:00,Al-Shabab,Al-Nassr,6,1,
107,20.02.2004,20:00,Al Qadisiya,Al Taee,1,1,
108,18.03.2004,20:00,Al-Shoalah,Al Riyadh,2,1,
109,18.03.2004,20:00,Al-Hilal,Al Qadisiya,3,0,
110,18.03.2004,20:00,Al Wehda,Al-Ettifaq,0,2,
111,18.03.2004,20:00,Al Ahli SC,Al-Shabab,1,1,
112,19.03.2004,20:00,Al-Nassr,Al-Ittihad FC,1,1,
113,19.03.2004,20:00,Al Taee,Al Khaleej,2,1,
114,23.03.2004,20:00,Al Khaleej,Al-Hilal,0,3,
115,29.03.2004,19:00,Al-Shabab,Al-Hilal,1,0,
116,29.03.2004,19:00,Al Wehda,Al-Ittihad FC,0,3,
117,01.04.2004,19:00,Al Ahli SC,Al-Shoalah,4,1,
118,11.04.2004,19:00,Al-Ittihad FC,Al-Hilal,1,0,
119,19.04.2004,19:00,Al-Ettifaq,Al Ahli SC,0,2,
120,23.04.2004,19:00,Al-Shabab,Al-Ittihad FC,1,1,
121,25.04.2004,19:00,Al Ahli SC,Al-Hilal,2,1,
122,27.04.2004,19:00,Al Qadisiya,Al-Ittihad FC,0,1,
123,05.05.2004,19:00,Al-Shabab,Al Wehda,0,0,
124,05.05.2004,19:00,Al-Ettifaq,Al-Shoalah,3,0,
125,05.05.2004,19:00,Al Riyadh,Al Taee,3,0,
126,05.05.2004,19:00,Al Ahli SC,Al-Nassr,2,1,
127,11.05.2004,19:00,Al-Ittihad FC,Al Ahli SC,3,3,
128,13.05.2004,19:00,Al-Shoalah,Al-Shabab,0,1,
129,13.05.2004,19:00,Al-Nassr,Al Wehda,2,2,
130,13.05.2004,19:00,Al-Hilal,Al Riyadh,4,1,
131,13.05.2004,19:00,Al Taee,Al-Ettifaq,0,3,
132,13.05.2004,19:00,Al Khaleej,Al Qadisiya,0,1,
133,23.05.2004,18:30,Al-Hilal,Al Ahli SC,1,5,Quarter-finals
134,27.05.2004,18:30,Al-Shabab,Al Ahli SC,2,1,Semi-finals
135,18.06.2004,18:30,Al-Ittihad FC,Al-Shabab,0,1,Final
