matchNo,Date,Time,Team1,Team2,Score1,Score2
61,11.12.2007,19:30,Al Taee,Najran,3,1
62,11.12.2007,19:32,Al-Shabab,Al-Ittihad FC,3,2
63,14.12.2007,19:40,Al-Hilal,Al-Nassr,1,1
64,14.12.2007,19:40,Al-Hazem,Al Wehda,0,1
65,14.12.2007,19:40,Al-Ettifaq,Al Ahli SC,1,2
66,15.12.2007,19:30,Al-Shabab,Al Taee,2,0
67,15.12.2007,19:30,Al Qadisiya,Najran,2,1
68,27.12.2007,19:36,Najran,Al-Hazem,2,2
69,27.12.2007,19:45,Al-Nassr,Al Watani,2,1
70,28.12.2007,19:40,Al Taee,Al-Hilal,0,2
71,28.12.2007,19:45,Al Ahli SC,Al-Shabab,1,3
72,29.12.2007,19:45,Al Wehda,Al-Ittihad FC,0,1
73,02.01.2008,19:45,Al Watani,Al Taee,1,0
74,02.01.2008,19:46,Al-Hilal,Al Ahli SC,1,3
75,03.01.2008,19:45,Al Wehda,Al-Shabab,0,2
76,03.01.2008,19:47,Al-Ittihad FC,Al-Nassr,4,0
77,04.01.2008,19:40,Al-Hazem,Al Qadisiya,2,0
78,07.01.2008,19:45,Al Wehda,Al-Hilal,0,1
79,07.01.2008,19:49,Al-Ettifaq,Al Taee,2,0
80,07.01.2008,19:52,Al Ahli SC,Najran,4,0
81,12.01.2008,19:35,Al Taee,Al-Nassr,1,3
82,12.01.2008,19:50,Al-Ittihad FC,Al-Hazem,2,0
83,12.01.2008,19:53,Al-Hilal,Al Wehda,3,1
84,13.01.2008,19:55,Al-Shabab,Najran,2,2
85,13.01.2008,19:55,Al Ahli SC,Al Watani,3,2
86,13.01.2008,19:58,Al Qadisiya,Al-Ettifaq,0,2
87,18.01.2008,19:54,Al Wehda,Al-Ettifaq,1,2
88,18.01.2008,19:56,Al-Hilal,Al Taee,2,0
89,18.01.2008,20:03,Al-Ittihad FC,Al Ahli SC,1,0
90,24.01.2008,15:45,Al Watani,Al Wehda,0,0
91,24.01.2008,19:52,Al Taee,Al-Ittihad FC,1,2
92,24.01.2008,20:00,Al-Shabab,Al Qadisiya,2,1
93,24.01.2008,20:00,Al-Nassr,Al Ahli SC,2,1
94,24.01.2008,20:00,Al-Ettifaq,Al-Hazem,2,3
95,25.01.2008,15:50,Najran,Al-Hilal,0,2
96,18.02.2008,20:15,Al-Ettifaq,Najran,2,1
97,18.02.2008,20:15,Al Ahli SC,Al-Hilal,1,2
98,18.02.2008,20:17,Al Wehda,Al Watani,2,1
99,18.02.2008,20:17,Al Qadisiya,Al-Ittihad FC,1,3
100,22.02.2008,20:14,Al Wehda,Al-Nassr,1,1
101,22.02.2008,20:17,Al-Hazem,Al-Shabab,0,0
102,22.02.2008,20:17,Al Ahli SC,Al Taee,3,1
103,22.02.2008,20:18,Al-Hilal,Al Qadisiya,0,0
104,22.02.2008,20:18,Al-Ettifaq,Al-Ittihad FC,1,2
105,22.02.2008,20:21,Al Watani,Najran,1,1
106,05.03.2008,20:25,Al-Ittihad FC,Al Wehda,1,1
107,13.03.2008,20:20,Najran,Al-Nassr,5,4
108,13.03.2008,20:20,Al-Shabab,Al-Ettifaq,2,1
109,13.03.2008,20:20,Al-Hazem,Al-Hilal,0,1
110,13.03.2008,20:20,Al Taee,Al Wehda,1,1
111,13.03.2008,20:20,Al Qadisiya,Al Watani,1,1
112,30.03.2008,20:25,Najran,Al Taee,2,2
113,30.03.2008,20:25,Al-Nassr,Al Qadisiya,0,1
114,30.03.2008,20:25,Al-Ittihad FC,Al-Shabab,1,1
115,30.03.2008,20:25,Al-Ettifaq,Al-Hilal,1,1
116,30.03.2008,20:25,Al Wehda,Al Ahli SC,1,0
117,30.03.2008,20:25,Al Watani,Al-Hazem,2,1
118,04.04.2008,20:25,Najran,Al Ahli SC,2,0
119,04.04.2008,20:25,Al-Shabab,Al-Hilal,1,1
120,04.04.2008,20:25,Al-Nassr,Al-Hazem,2,1
121,04.04.2008,20:25,Al-Ettifaq,Al Watani,1,1
122,04.04.2008,20:25,Al Taee,Al Qadisiya,0,0
123,09.04.2008,20:25,Al-Hilal,Al-Shabab,0,0
124,09.04.2008,20:25,Al-Hazem,Al-Nassr,1,1
125,09.04.2008,20:25,Al Watani,Al-Ettifaq,0,1
126,09.04.2008,20:25,Al Qadisiya,Al Taee,1,4
127,13.04.2008,20:25,Najran,Al Wehda,3,1
128,13.04.2008,20:25,Al-Shabab,Al Watani,6,0
129,13.04.2008,20:25,Al-Nassr,Al-Ettifaq,0,3
130,13.04.2008,20:25,Al-Ittihad FC,Al-Hilal,0,1
131,13.04.2008,20:25,Al Taee,Al-Hazem,1,3
132,13.04.2008,20:25,Al Qadisiya,Al Ahli SC,1,1
,,,,,,
,,,,,,
,,,,,,
