matchNo,Date,Time,Team1,Team2,Score1,Score2
1,23.08.2007,20:40,Al-Ittihad FC,Najran,2,0
2,23.08.2007,20:40,Al-Hilal,Al Watani,5,0
3,23.08.2007,20:40,Al Qadisiya,Al Wehda,0,4
4,24.08.2007,20:40,Al-Hazem,Al Ahli SC,1,0
5,24.08.2007,20:42,Al-Shabab,Al-Nassr,1,1
6,30.08.2007,20:40,Al Wehda,Al-Hazem,3,2
7,30.08.2007,20:40,Al Watani,Al-Ittihad FC,0,0
8,31.08.2007,20:15,Najran,Al Qadisiya,2,1
9,31.08.2007,20:40,Al Taee,Al-Shabab,0,0
10,13.09.2007,22:15,Al-Shabab,Al Ahli SC,1,3
11,13.09.2007,22:15,Al-Ettifaq,Al Wehda,4,1
12,14.09.2007,22:15,Al-Ittihad FC,Al Qadisiya,1,0
13,14.09.2007,22:15,Al-Hazem,Najran,1,1
14,14.09.2007,22:15,Al Watani,Al-Nassr,1,0
15,20.09.2007,22:15,Najran,Al-Ettifaq,0,1
16,20.09.2007,22:15,Al-Nassr,Al-Ittihad FC,1,5
17,20.09.2007,22:15,Al Taee,Al Watani,2,2
18,20.09.2007,22:15,Al Qadisiya,Al-Hazem,1,1
19,22.09.2007,22:30,Al-Shabab,Al Wehda,2,1
20,25.09.2007,22:00,Al-Nassr,Al Taee,1,1
21,25.09.2007,22:00,Al-Hazem,Al-Ittihad FC,1,2
22,25.09.2007,22:00,Al-Ettifaq,Al Qadisiya,5,1
23,26.09.2007,22:15,Najran,Al-Shabab,1,2
24,26.09.2007,22:15,Al Watani,Al Ahli SC,3,2
25,29.09.2007,22:15,Al-Ittihad FC,Al Taee,5,2
26,29.09.2007,22:15,Al-Hazem,Al-Ettifaq,1,2
27,30.09.2007,22:15,Al-Hilal,Najran,1,2
28,30.09.2007,22:15,Al Ahli SC,Al-Nassr,0,3
29,18.10.2007,19:50,Al-Shabab,Al-Hazem,1,2
30,18.10.2007,19:50,Al-Nassr,Al Wehda,1,0
31,18.10.2007,19:50,Al-Ittihad FC,Al-Ettifaq,1,0
32,18.10.2007,19:50,Al Qadisiya,Al-Hilal,2,4
33,19.10.2007,19:50,Najran,Al Watani,0,1
34,19.10.2007,19:50,Al Taee,Al Ahli SC,0,2
35,25.10.2007,19:50,Al-Nassr,Najran,2,1
36,25.10.2007,19:50,Al Watani,Al Qadisiya,2,1
37,25.10.2007,19:50,Al Ahli SC,Al-Ittihad FC,0,2
38,28.10.2007,19:50,Al-Hilal,Al-Hazem,2,0
39,28.10.2007,19:50,Al-Ettifaq,Al-Shabab,0,0
40,28.10.2007,19:50,Al Wehda,Al Taee,1,0
41,05.11.2007,19:43,Al Qadisiya,Al-Shabab,2,5
42,05.11.2007,19:45,Al-Ittihad FC,Al Watani,1,1
43,06.11.2007,19:40,Al-Nassr,Al-Hilal,1,3
44,06.11.2007,19:45,Al Ahli SC,Al-Ettifaq,2,2
45,29.11.2007,19:30,Al Wehda,Najran,6,0
46,29.11.2007,19:30,Al Watani,Al-Shabab,0,1
47,29.11.2007,19:30,Al Ahli SC,Al Qadisiya,0,0
48,30.11.2007,19:30,Al-Hazem,Al Taee,2,1
49,01.12.2007,19:30,Al-Hilal,Al-Ittihad FC,0,0
50,01.12.2007,19:30,Al-Ettifaq,Al-Nassr,1,4
51,05.12.2007,19:34,Al-Nassr,Al-Shabab,2,2
52,05.12.2007,19:34,Al Watani,Al-Hilal,0,1
53,05.12.2007,19:34,Al Taee,Al-Ettifaq,0,0
54,06.12.2007,19:30,Najran,Al-Ittihad FC,2,2
55,06.12.2007,19:38,Al Wehda,Al Qadisiya,2,1
56,06.12.2007,19:38,Al Ahli SC,Al-Hazem,1,1
57,10.12.2007,19:33,Al-Hazem,Al Watani,1,0
58,10.12.2007,19:33,Al Qadisiya,Al-Nassr,0,2
59,10.12.2007,19:36,Al-Hilal,Al-Ettifaq,2,0
60,10.12.2007,19:40,Al Ahli SC,Al Wehda,1,1
