Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official
Sun ,22/11/2009,52,7:35:00 PM,Al-Hazem,Al-Qadsiah,Alhazm Club Stadium,Al-Ras,9,1,1,,Michael Koukoulakis,Acrevos Christos,Vasileiadis Leonidas,Mohammed Al-Nuhait
Mon ,23/11/2009,53,7:35:00 PM,Al-Shabab,Al-Ittihad,Prince Faisal bin Fahad Stadium,Riyadh,9,1,0,,Istvan Vad,Gyorgy Ring,Zsolt Szpisjak,Daffer Al-Shehri
Mon ,23/11/2009,54,7:35:00 PM,Al-Raed,Najran,King Abdullah Sport City Stadium,Buraidah,9,2,2,,Abdullah Al-Qahtani,Abdulaziz Al-Kathiri,Abdulaziz Al-Asmari,Saleh Al-Aqeel
Tue ,01/12/2009,42,7:35:00 PM,Al-Ettifaq,Al-Ittihad,Prince Mohamed bin Fahd Stadium,Dammam,7,2,1,delayed match,Abdulrahman Al-Amri,Abdullah Al-Shlwi,Ahmed Fakihi,Mansor Al-Shamari
Thu ,03/12/2009,55,7:35:00 PM,Al-Hilal,Al-Shabab,Prince Faisal bin Fahad Stadium,Riyadh,10,2,2,,Victor Kassai,Gabor Eros,Tepor Vamos,Abdullah Al-Qahtani
Thu ,03/12/2009,57,7:35:00 PM,Najran,Al-Hazem,AlAkhdoud Club Stadium,Najran,10,2,4,,Mansor Al-Shamari,Abdulaziz Al-Kathiri,Abdulwahab Al-Zahrani,Saleh Al-Sqoor
Fri ,04/12/2009,59,7:35:00 PM,Al-Nassr,Al-Fateh,Prince Faisal bin Fahad Stadium,Riyadh,10,3,1,,Fahad Al-Mirdasi,Ibrahim Al-Debasi,Bader Al-Shamrani,Metref Al-Qahtani
Fri ,04/12/2009,60,7:35:00 PM,Al-Wehda,Al-Raed,King Abdul Aziz Sport City Stadium,Makkah,10,4,1,,Daffer Al-Shehri,Moaid Al-Sayeg,Fahad Al-Amri,Abdelrahman Al-Malki
Sat ,05/12/2009,56,7:35:00 PM,Al-Qadsiah,Al-Ettifaq,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,10,1,1,,Saad Al-Kathiri,Mohammed Al-Ghamdi,Abdulaziz Al-Asmari,Abdulrahman Al-Ahmri
Sat ,05/12/2009,58,7:35:00 PM,Al-Ittihad,Al-Ahli,Prince Abdullah Al-Faisal Stadium,Jeddah,10,2,1,,Serge Gumienny,Mark Simons,Michael Keen,Khalil Al-Ghamdi
Wed ,09/12/2009,61,7:35:00 PM,Al-Raed,Al-Nassr,King Abdullah Sport City Stadium,Buraidah,11,0,0,,Meree Al-Awagi,Mohammed Al-Ghamdi,Fahad Al-Amri,Mohammed Al-Owais
Wed ,09/12/2009,62,7:35:00 PM,Al-Qadsiah,Al-Shabab,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,11,0,3,,Jerome Efong Nzolo,Jolie de Brown,Eric Thierry,Fahad Al-Oraini
Wed ,09/12/2009,63,7:35:00 PM,Al-Hazem,Al-Wehda,Alhazm Club Stadium,Al-Ras,11,1,2,,Fahad Al-Mirdasi,Hmood Al-Shamari,Abdelraheem Al-Shamari,Mohammed Al-Nuhait
Thu ,10/12/2009,64,7:35:00 PM,Al-Hilal,Al-Ittihad,Prince Faisal bin Fahad Stadium,Riyadh,11,5,0,,Luc Wouters,Dani Huns,Tom Dienes,Abdullah Al-Qahtani
Thu ,10/12/2009,65,7:35:00 PM,Al-Ahli,Al-Fateh,Prince Abdullah Al-Faisal Stadium,Jeddah,11,1,1,,Yahya Hazzazi,Bader Al-Shamrani,Nawaf Al-Otaibi,Abdulrahman Al-Amri
Thu ,10/12/2009,66,7:35:00 PM,Al-Ettifaq,Najran,Prince Mohamed bin Fahd Stadium,Dammam,11,3,1,,Metref Al-Qahtani,Moaid Al-Sayeg,Ahmed Fakihi,Mansor Al-Shamari
Tue ,15/12/2009,67,7:40:00 PM,Al-Hilal,Al-Qadsiah,Prince Faisal bin Fahad Stadium,Riyadh,12,2,1,,Daffer Al-Shehri,Mohammed Al-Ghamdi,Abdelraheem Al-Shamari,Saad Al-Kathiri
Tue ,15/12/2009,68,7:40:00 PM,Al-Ittihad,Al-Fateh,Prince Abdullah Al-Faisal Stadium,Jeddah,12,1,1,,Abdullah Al-Qahtani,Ibrahim Al-Debasi,Abdullah Asiri,Mohammed Al-Hoaish
