matchNo,Round,Date,Time,Team1,Team2,Score1,Score2
1,1,14.08.2010,21:45,Al-Fateh,Al Qadisiya,1,3
2,1,14.08.2010,22:00,Najran,Al-Nassr,0,1
3,1,14.08.2010,22:00,Al-Shabab,Al-Raed,0,2
4,1,14.08.2010,22:15,Al-Ittihad FC,Al-Ettifaq,2,1
5,1,15.08.2010,22:00,Al-Hilal,Al-Taawon,1,0
6,1,15.08.2010,22:15,Al Wehda,Al-Faisaly,3,3
7,1,15.08.2010,22:15,Al Ahli SC,Al-Hazem,1,0
8,2,19.08.2010,21:45,Al-Ettifaq,Al Ahli SC,4,3
9,2,19.08.2010,22:00,Al-Nassr,Al-Fateh,4,2
10,2,19.08.2010,22:15,Al-Taawon,Al-Shabab,4,1
11,2,20.08.2010,21:45,Al Qadisiya,Al Wehda,1,1
12,2,20.08.2010,22:00,Al-Faisaly,Al-Ittihad FC,0,2
13,2,20.08.2010,22:15,Al-Raed,Najran,3,2
14,2,20.08.2010,22:15,Al-Hazem,Al-Hilal,0,2
15,3,24.08.2010,22:00,Al-Shabab,Al-Ettifaq,2,1
16,3,24.08.2010,22:15,Al-Taawon,Al-Nassr,2,2
17,3,24.08.2010,22:15,Al-Hazem,Al Qadisiya,2,2
18,3,24.08.2010,22:15,Al Ahli SC,Al-Fateh,1,2
19,3,25.08.2010,22:00,Al-Hilal,Al-Faisaly,5,1
20,3,25.08.2010,22:15,Al-Raed,Al Wehda,3,2
21,3,25.08.2010,22:15,Al-Ittihad FC,Najran,2,0
22,4,28.08.2010,21:45,Al Qadisiya,Al-Taawon,4,1
23,4,28.08.2010,22:00,Al-Nassr,Al-Shabab,0,0
24,4,29.08.2010,21:45,Al-Fateh,Al-Raed,1,1
25,4,29.08.2010,21:45,Al-Ettifaq,Al-Faisaly,1,0
26,4,29.08.2010,22:00,Najran,Al Ahli SC,2,1
27,4,29.08.2010,22:15,Al-Ittihad FC,Al-Hazem,4,0
28,4,29.08.2010,22:15,Al Wehda,Al-Hilal,1,3
29,5,16.09.2010,20:30,Al-Hazem,Al Wehda,1,1
30,5,16.09.2010,20:30,Al-Faisaly,Al-Nassr,1,1
31,5,16.09.2010,20:30,Al Ahli SC,Al-Ittihad FC,1,3
