matchNo,Round,Date,Time,Team1,Team2,Score1,Score2
92,14,05.02.2015,16:00,Najran,Al-Nassr,0,4
93,14,05.02.2015,18:05,Hajer,Al Ahli SC,0,3
94,14,05.02.2015,20:30,Al Khaleej,Al-Shabab,1,0
95,14,06.02.2015,18:05,Al-Fateh,Al-Ittihad FC,2,2
96,14,06.02.2015,20:30,Al-Hilal,Al-Shoalah,2,1
97,14,07.02.2015,18:30,Al-Raed,Al-Faisaly,2,1
98,14,08.02.2015,18:30,Al-Taawon,Al Orubah,1,1
99,15,12.02.2015,18:30,Al-Taawon,Hajer,3,1
100,15,12.02.2015,18:30,Al-Faisaly,Al-Ittihad FC,0,3
101,15,12.02.2015,20:30,Al-Shabab,Al-Fateh,2,2
102,15,14.02.2015,16:05,Al-Shoalah,Al Khaleej,1,1
103,15,14.02.2015,20:30,Al-Nassr,Al-Raed,2,2
104,15,17.02.2015,16:05,Al Orubah,Al-Hilal,1,0
105,16,19.02.2015,16:05,Najran,Al-Taawon,0,1
106,16,19.02.2015,18:15,Hajer,Al-Shabab,4,4
107,16,20.02.2015,18:30,Al-Faisaly,Al-Fateh,4,2
108,16,20.02.2015,20:30,Al-Nassr,Al Khaleej,4,1
109,16,20.02.2015,20:30,Al-Ittihad FC,Al-Shoalah,3,2
110,16,21.02.2015,18:35,Al-Raed,Al Orubah,2,1
111,16,21.02.2015,20:40,Al Ahli SC,Al-Hilal,1,1
112,17,27.02.2015,16:10,Al Orubah,Al-Ittihad FC,0,1
113,17,28.02.2015,16:05,Najran,Al-Hilal,0,2
114,17,28.02.2015,16:05,Al-Shoalah,Al-Shabab,1,2
115,17,28.02.2015,18:20,Al-Fateh,Al-Nassr,1,1
116,17,28.02.2015,18:20,Al Khaleej,Al Ahli SC,1,1
117,17,28.02.2015,20:30,Al-Taawon,Al-Raed,3,1
118,17,01.03.2015,18:20,Hajer,Al-Faisaly,0,2
119,18,06.03.2015,18:45,Al-Raed,Hajer,2,1
120,18,06.03.2015,18:45,Al-Faisaly,Al Orubah,2,0
121,18,06.03.2015,20:30,Al-Ittihad FC,Najran,2,1
122,18,07.03.2015,18:25,Al-Fateh,Al-Taawon,2,0
123,18,07.03.2015,18:25,Al Khaleej,Al-Hilal,0,1
124,18,07.03.2015,20:30,Al-Nassr,Al-Shoalah,5,0
125,18,07.03.2015,20:40,Al-Shabab,Al Ahli SC,2,3
126,15,11.03.2015,20:30,Al Ahli SC,Najran,2,1
127,19,13.03.2015,16:15,Al Orubah,Al-Nassr,0,2
128,19,13.03.2015,18:50,Al-Taawon,Al-Faisaly,0,1
129,19,13.03.2015,20:30,Al-Hilal,Al-Fateh,3,0
130,19,14.03.2015,18:55,Najran,Al-Shabab,2,1
131,19,14.03.2015,20:30,Al Ahli SC,Al-Shoalah,3,0
132,19,15.03.2015,18:30,Hajer,Al Khaleej,1,1
133,19,15.03.2015,20:35,Al-Ittihad FC,Al-Raed,3,1
134,20,21.03.2015,16:15,Al Orubah,Hajer,2,3
135,20,21.03.2015,18:30,Al Khaleej,Al-Ittihad FC,0,1
136,20,21.03.2015,20:40,Al-Raed,Al-Fateh,2,3
137,20,22.03.2015,18:45,Al-Shoalah,Al-Taawon,4,3
138,20,22.03.2015,18:45,Al-Shabab,Al-Hilal,0,1
139,20,22.03.2015,18:45,Al-Faisaly,Najran,0,1
140,20,22.03.2015,20:55,Al-Nassr,Al Ahli SC,3,4
141,21,03.04.2015,18:50,Al-Shabab,Al-Faisaly,2,1
142,21,03.04.2015,20:45,Al Ahli SC,Al-Raed,1,0
143,21,04.04.2015,18:40,Al-Fateh,Al-Shoalah,0,0
144,21,04.04.2015,18:40,Al Khaleej,Al Orubah,2,0
145,21,04.04.2015,21:00,Al-Taawon,Al-Hilal,0,1
146,21,04.04.2015,21:10,Al-Ittihad FC,Al-Nassr,1,3
147,22,09.04.2015,20:30,Hajer,Al-Ittihad FC,0,1
148,22,10.04.2015,18:55,Al-Shoalah,Najran,2,1
149,22,11.04.2015,18:40,Al-Fateh,Al Khaleej,2,0
150,22,11.04.2015,18:55,Al-Nassr,Al-Taawon,2,1
151,22,11.04.2015,19:00,Al-Raed,Al-Shabab,3,1
152,22,11.04.2015,19:25,Al Orubah,Al Ahli SC,1,3
153,22,11.04.2015,21:00,Al-Hilal,Al-Faisaly,3,0
154,23,17.04.2015,19:00,Al-Nassr,Hajer,3,0
155,23,17.04.2015,19:05,Al-Taawon,Al-Shabab,1,1
156,23,17.04.2015,21:10,Al-Hilal,Al-Ittihad FC,3,0
157,23,18.04.2015,18:45,Al Khaleej,Al-Raed,3,0
158,23,18.04.2015,19:00,Najran,Al-Fateh,1,1
159,23,18.04.2015,19:25,Al Orubah,Al-Shoalah,2,0
160,23,18.04.2015,21:00,Al-Faisaly,Al Ahli SC,1,4
161,24,25.04.2015,18:50,Hajer,Al-Shoalah,2,1
162,24,25.04.2015,19:00,Najran,Al Khaleej,1,4
163,24,26.04.2015,19:00,Al-Shabab,Al Orubah,3,0
164,24,26.04.2015,21:00,Al-Raed,Al-Hilal,1,1
165,24,26.04.2015,21:00,Al-Faisaly,Al-Nassr,1,5
166,24,27.04.2015,21:00,Al-Ittihad FC,Al-Taawon,4,3
167,24,28.04.2015,20:40,Al Ahli SC,Al-Fateh,5,0
168,25,10.05.2015,19:00,Al Khaleej,Al-Faisaly,4,2
169,25,10.05.2015,21:00,Al-Shoalah,Al-Raed,2,2
170,25,10.05.2015,21:00,Al-Shabab,Al-Ittihad FC,3,4
171,25,10.05.2015,21:00,Al-Hilal,Al-Nassr,0,1
172,25,10.05.2015,21:00,Al-Fateh,Hajer,3,1
173,25,10.05.2015,21:00,Al Orubah,Najran,0,1
174,25,10.05.2015,21:00,Al Ahli SC,Al-Taawon,2,2
175,26,14.05.2015,19:15,Najran,Al-Raed,1,2
176,26,15.05.2015,19:00,Al-Shoalah,Al-Faisaly,2,1
177,26,15.05.2015,19:00,Al-Fateh,Al Orubah,1,0
178,26,15.05.2015,19:25,Al-Taawon,Al Khaleej,4,4
179,26,15.05.2015,21:00,Al-Nassr,Al-Shabab,0,0
180,26,15.05.2015,21:00,Al-Ittihad FC,Al Ahli SC,1,1
181,26,15.05.2015,21:00,Al-Hilal,Hajer,5,1
182,21,18.05.2015,19:15,Najran,Hajer,1,2
