Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Attendance,Referee_name,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name
Fri ,29/04/2011,165,8:40:00 PM,Al-Hilal,Al-Raed,Prince Faisal bin Fahad Stadium,Riyadh,24,2,1,,5528,Abdulrahman Al-Ahmri,Abdulaziz Al-Kathiri,Mohammed Al-Abkari,Bader Al-Anazi
Fri ,29/04/2011,167,8:40:00 PM,Al-Ettifaq,Al-Nassr,Prince Mohamed bin Fahd Stadium,Dammam,24,3,0,,8315,Vasilios Pamporidis,Bozatzidis Dimitrios,Vasileiadis Leonidas,Mansor Al-Shamari
Fri ,29/04/2011,168,8:40:00 PM,Al-Ittihad,Al-Qadsiah,Prince Abdullah Al-Faisal Stadium,Jeddah,24,2,2,,889,Khalil Al-Ghamdi,Bader Al-Shamrani,Fahad Al-Amri,Abdelrahman Al-Malki
Fri ,29/04/2011,166,8:40:00 PM,Al-Wehda,Al-Shabab,King Abdul Aziz Sport City Stadium,Makkah,24,1,2,,563,Meree Al-Awagi,Abdulaziz Al-Asmari,Waleed Al-boaimi,Abdulrahman Al-Amri
Sat ,30/04/2011,163,8:40:00 PM,Al-Fateh,Al-Taawoun,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,24,1,3,,133,Abbas Ibrahim,Abdullah Al-Shlwi,Majed Al-Nasser,Qasem Mohammed
Sat ,30/04/2011,164,8:40:00 PM,Al-Hazem,Najran,Alhazm Club Stadium,Al-Ras,24,0,3,,24,Abdulaziz Al-Funaitel,Mohammed Khmash,Ahmed Manai,Saleh Al-Hathlool
Sat ,30/04/2011,162,8:40:00 PM,Al-Ahli,Al-Faisaly,Prince Abdullah Al-Faisal Stadium,Jeddah,24,3,0,,1158,Fahad Al-Oraini,Moaid Al-Sayeg,Khaled Al-Degairi,Abdulrahman Al-Kabi
Thu ,05/05/2011,100,8:45:00 PM,Al-Wehda,Al-Qadsiah,King Abdul Aziz Sport City Stadium,Makkah,15,0,0,Delayed to this day,302,Zsolt Szabo,Zsolt Szpisjak,Szolt Varga,Abdulrahman Al-Kabi
Sun ,15/05/2011,169,8:50:00 PM,Al-Shabab,Al-Ittihad,King Fahad International Stadium,Riyadh,25,1,1,,1118,Abdulrahman Al-Amri,Ibrahim Al-Debasi,Abdulaziz Al-Asmari,Abdullah Al-Awedan
Sun ,15/05/2011,170,8:50:00 PM,Al-Nassr,Al-Hazem,Prince Faisal bin Fahad Stadium,Riyadh,25,2,1,,1603,Hussin Al-Setri,Abdullah Asiri,Ziad Al-Mansor,Khaled Al-Teris
Sun ,15/05/2011,171,8:50:00 PM,Najran,Al-Fateh,AlAkhdoud Club Stadium,Najran,25,2,1,,1160,Khalil Al-Ghamdi,Moaid Al-Sayeg,Ahmed Manai,Abdelrahman Al-Qahtani
Sun ,15/05/2011,172,8:50:00 PM,Al-Taawoun,Al-Ettifaq,King Abdullah Sport City Stadium,Buraidah,25,0,1,,8802,Sami Al-Nemri,Nassir Al-Mudhaffr,Mohammed Khmash,Mohammed Al-Nuhait
Sun ,15/05/2011,173,8:50:00 PM,Al-Ahli,Al-Wehda,Prince Abdullah Al-Faisal Stadium,Jeddah,25,3,2,,2143,Abbas Ibrahim,Fahad Al-Amri,Waleed Al-boaimi,Abdelrahman Al-Malki
Sun ,15/05/2011,174,8:50:00 PM,Al-Qadsiah,Al-Hilal,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,25,0,2,,4496,Meree Al-Awagi,Bader Al-Shamrani,Khaled Al-Degairi,Abdulrahman Al-Ahmri
Sun ,15/05/2011,175,8:50:00 PM,Al-Faisaly,Al-Raed,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,25,1,3,,833,Metref Al-Qahtani,Abdullah Al-Shlwi,Abdelraheem Al-Shamari,Abdulrahman Al-Sultan
Fri ,20/05/2011,177,8:55:00 PM,Al-Wehda,Al-Taawoun,King Abdul Aziz Sport City Stadium,Makkah,26,0,0,,632,Disciplinary Committee has decided to discount three points from teams because of the deliberate delay to start of the match,<a class='fontbluea' href='referee.php?id=70'>Fahad Al-Oraini</a>,,
Fri ,20/05/2011,178,8:55:00 PM,Al-Ettifaq,Al-Qadsiah,Prince Mohamed bin Fahd Stadium,Dammam,26,1,0,,1464,Khalil Al-Ghamdi,Fahad Al-Amri,Abdulaziz Al-Slom,Mansor Al-Shamari
Fri ,20/05/2011,179,8:55:00 PM,Al-Raed,Al-Ahli,King Abdullah Sport City Stadium,Buraidah,26,2,3,,6763,Abdulaziz Al-Funaitel,Abdullah Al-Shlwi,Majed Al-Nasser,Turki Al-Khudair
Fri ,20/05/2011,181,8:55:00 PM,Al-Fateh,Al-Hazem,Prince Abdullah Bin Jalawi Sport City Stadium,Al-Ahsa,26,3,0,,50,Mohammed Al-Nuhait,Abdullah Ma'afa,Mohammed Al-Khudairi,Mohammed Al-Hoaish
Fri ,20/05/2011,176,8:55:00 PM,Al-Hilal,Najran,Prince Faisal bin Fahad Stadium,Riyadh,26,2,1,,8620,Sami Al-Nemri,Abdelraheem Al-Shamari,Mohammed Al-Abkari,Abdullah Al-Awedan
Fri ,20/05/2011,180,8:55:00 PM,Al-Ittihad,Al-Nassr,Prince Abdullah Al-Faisal Stadium,Jeddah,26,5,2,,5471,Meree Al-Awagi,Abdulaziz Al-Asmari,Moaid Al-Sayeg,Abdelrahman Al-Malki
Fri ,20/05/2011,182,8:55:00 PM,Al-Faisaly,Al-Shabab,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,26,0,1,,920,Abbas Ibrahim,Abdulaziz Al-Kathiri,Meshal Al-Thiban,Yahya Al-Qarni
