Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Attendance,Referee_name,Assistant_referee_1_name,Assistant_referee_2_name,Fourth_official_name
Wed ,10/11/2010,86,7:35:00 PM,Al-Taawoun,Al-Wehda,King Abdullah Sport City Stadium,Buraidah,13,1,2,,2613,Hussin Al-Setri,Abdullah Al-Shlwi,Nawaf Al-Otaibi,Saleh Al-Aqeel
Thu ,11/11/2010,87,7:35:00 PM,Al-Ahli,Al-Raed,Prince Abdullah Al-Faisal Stadium,Jeddah,13,1,2,,8014,Saad Al-Kathiri,Moaid Al-Sayeg,Mohammed Khmash,Abdulrahman Al-Kabi
Thu ,11/11/2010,88,7:35:00 PM,Al-Qadsiah,Al-Ettifaq,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,13,0,3,,3978,Fahad Al-Oraini,Nassir Al-Mudhaffr,Fahad Al-Amri,Abdulelah Al-Mousa
Thu ,11/11/2010,89,7:35:00 PM,Al-Shabab,Al-Faisaly,Prince Faisal bin Fahad Stadium,Riyadh,13,4,1,,595,Meree Al-Awagi,Khaled Al-Degairi,Majed Al-Nasser,Bader Al-Anazi
Thu ,11/11/2010,90,7:35:00 PM,Najran,Al-Hilal,AlAkhdoud Club Stadium,Najran,13,0,3,,368,Fahad Al-Mirdasi,Bader Al-Shamrani,Abdulwahab Al-Zahrani,Mohammed Al-Harthi
Thu ,11/11/2010,91,7:35:00 PM,Al-Hazem,Al-Fateh,Alhazm Club Stadium,Al-Ras,13,2,1,,97,Abbas Ibrahim,Saleh Al-Mutairi,Abdelraheem Al-Shamari,Mishari Al-Mishari
Thu ,09/12/2010,95,7:15:00 PM,Al-Faisaly,Al-Wehda,King Salman Bin Abdul Aziz Sport City Stadium,Al-Mjmaah,14,1,0,,636,Fahad Al-Mirdasi,Moaid Al-Sayeg,Ziad Al-Mansor,Faisal Al-Anazi
Thu ,09/12/2010,96,7:35:00 PM,Al-Raed,Al-Shabab,King Abdullah Sport City Stadium,Buraidah,14,2,2,,4134,Abdulrahman Al-Amri,Abdulaziz Al-Kathiri,Majed Al-Nasser,Saleh Al-Hathlool
Thu ,09/12/2010,97,7:35:00 PM,Al-Qadsiah,Al-Fateh,Prince Saud Bin Jalawi Sport City Stadium,Al-Khobar,14,0,1,,174,Abdullah Al-Qubaisi,Saleh Al-Mutairi,Yahya Al-Meteq,Abdulelah Al-Mousa
Fri ,10/12/2010,92,7:35:00 PM,Al-Nassr,Najran,Prince Faisal bin Fahad Stadium,Riyadh,14,6,1,,3009,Fahad Al-Oraini,Abdullah Al-Shlwi,Abdelraheem Al-Shamari,Abdulaziz Al-Funaitel
