matchNo,Round,Date,Time,Team1,Team2,Score1,Score2,Note
88,13,10.12.2017,19:40,Ohod,Al Ahli SC,2,2,
89,13,10.12.2017,19:40,Al-Fateh,Al-Hilal,0,0,
90,14,14.12.2017,17:55,Al-Raed,Al Qadisiya,1,1,
91,14,14.12.2017,19:40,Al-Nassr,Al-Faisaly,1,1,
92,14,15.12.2017,18:15,Ohod,Al-Shabab,0,2,
93,14,15.12.2017,19:40,Al Ahli SC,Al-Ettifaq,4,1,
94,14,16.12.2017,15:15,Al-Taawon,Al-Fateh,0,0,
95,14,16.12.2017,17:45,Al Batin,Al-Ittihad FC,1,2,
96,14,17.12.2017,19:40,Al Feiha,Al-Hilal,2,1,
97,15,21.12.2017,17:55,Al-Faisaly,Al-Raed,2,2,
98,15,21.12.2017,19:45,Al Qadisiya,Al-Shabab,1,2,
99,15,22.12.2017,15:40,Ohod,Al Batin,1,1,
100,15,22.12.2017,20:30,Al-Ettifaq,Al-Nassr,3,2,
101,15,23.12.2017,19:45,Al-Fateh,Al Ahli SC,1,3,
102,15,24.12.2017,19:45,Al-Ittihad FC,Al Feiha,0,1,
103,15,24.12.2017,19:45,Al-Hilal,Al-Taawon,1,0,
104,16,27.12.2017,17:50,Al Batin,Al-Shabab,0,1,
105,16,28.12.2017,15:20,Al-Raed,Al-Fateh,2,2,
106,16,28.12.2017,15:45,Ohod,Al-Hilal,1,4,
107,16,28.12.2017,20:20,Al-Ittihad FC,Al-Faisaly,3,3,
108,16,29.12.2017,15:20,Al-Taawon,Al Feiha,4,0,
109,16,29.12.2017,19:50,Al-Nassr,Al Ahli SC,3,1,
110,10,01.01.2018,19:50,Al-Faisaly,Al-Hilal,1,1,
111,11,08.01.2018,19:55,Al-Hilal,Al-Ettifaq,1,1,
112,17,11.01.2018,15:10,Al-Fateh,Ohod,0,0,
113,17,11.01.2018,20:00,Al Feiha,Al-Nassr,1,0,
114,17,12.01.2018,18:15,Al-Taawon,Al-Raed,2,2,
115,17,12.01.2018,20:00,Al Ahli SC,Al Batin,5,0,
116,17,13.01.2018,15:25,Al-Faisaly,Al Qadisiya,2,0,
117,17,13.01.2018,20:00,Al-Hilal,Al-Ittihad FC,1,1,
118,17,14.01.2018,18:05,Al-Shabab,Al-Ettifaq,3,1,
119,19,29.01.2018,18:00,Al Qadisiya,Al-Fateh,1,4,
120,19,29.01.2018,18:15,Al Batin,Al-Ettifaq,1,1,
121,19,29.01.2018,20:10,Al Feiha,Al-Faisaly,2,2,
122,19,30.01.2018,16:05,Ohod,Al-Ittihad FC,0,1,
123,19,30.01.2018,18:25,Al-Taawon,Al-Nassr,1,0,
