matchNo,Round,Date,Time,Team1,Team2,Score1,Score2
1,1,19.08.2009,20:45,Al Qadisiya,Al-Hilal,1,2
2,1,19.08.2009,20:45,Al Wehda,Al-Ettifaq,2,2
3,1,19.08.2009,20:45,Najran,Al-Shabab,1,3
4,1,18.08.2009,20:45,Al Ahli SC,Al-Raed,1,0
5,1,18.08.2009,20:45,Al-Fateh,Al-Ittihad FC,1,2
6,3,22.08.2009,22:15,Al-Raed,Al-Ittihad FC,0,2
7,2,26.08.2009,22:15,Al-Hilal,Najran,5,0
8,2,26.08.2009,22:15,Al-Ittihad FC,Al Qadisiya,7,1
9,2,26.08.2009,22:15,Al-Raed,Al-Fateh,2,1
10,2,25.08.2009,22:15,Al-Ettifaq,Al-Nassr,1,1
11,2,25.08.2009,22:15,Al-Shabab,Al Wehda,2,2
12,3,25.09.2009,20:10,Al Ahli SC,Al-Ettifaq,2,0
13,3,25.09.2009,20:10,Al-Fateh,Al-Hazem,1,1
14,3,24.09.2009,20:10,Al Wehda,Al-Hilal,1,2
15,3,24.09.2009,20:10,Al-Nassr,Al-Shabab,0,2
16,3,24.09.2009,20:10,Najran,Al Qadisiya,0,0
17,4,30.09.2009,20:05,Al-Ettifaq,Al-Fateh,0,2
18,4,30.09.2009,20:05,Al-Hazem,Al-Raed,2,1
19,4,30.09.2009,20:05,Al-Shabab,Al Ahli SC,2,1
20,4,29.09.2009,20:05,Al Qadisiya,Al Wehda,1,0
21,4,29.09.2009,20:05,Al-Hilal,Al-Nassr,2,2
22,5,18.10.2009,19:50,Al Ahli SC,Al-Hilal,1,2
23,5,18.10.2009,19:50,Al Wehda,Najran,2,0
24,5,18.10.2009,19:50,Al-Fateh,Al-Shabab,2,1
25,5,05.10.2009,19:50,Al-Nassr,Al Qadisiya,3,0
26,5,04.10.2009,19:50,Al-Hazem,Al-Ittihad FC,1,2
27,6,23.10.2009,19:45,Al Qadisiya,Al Ahli SC,1,2
28,6,23.10.2009,19:45,Al-Ettifaq,Al-Hazem,2,3
29,6,23.10.2009,19:45,Al-Hilal,Al-Fateh,5,1
30,6,23.10.2009,19:45,Najran,Al-Nassr,1,1
31,6,22.10.2009,19:45,Al-Shabab,Al-Raed,2,1
32,7,28.10.2009,19:45,Al Ahli SC,Najran,0,1
33,7,28.10.2009,19:45,Al-Fateh,Al Qadisiya,5,0
34,7,28.10.2009,19:45,Al-Hazem,Al-Shabab,1,2
35,7,28.10.2009,19:45,Al-Raed,Al-Hilal,0,2
36,8,03.11.2009,19:40,Al Wehda,Al Ahli SC,1,1
37,8,03.11.2009,19:40,Al-Shabab,Al-Ettifaq,4,1
38,8,02.11.2009,19:40,Al Qadisiya,Al-Raed,0,0
39,8,02.11.2009,19:40,Al-Hilal,Al-Hazem,4,0
40,8,02.11.2009,19:40,Najran,Al-Fateh,1,1
41,4,18.11.2009,19:35,Al-Ittihad FC,Najran,3,1
42,9,23.11.2009,19:35,Al-Raed,Najran,2,2
