matchNo,Round,Date,Time,Team1,Team2,Score1,Score2
1,1,23.08.2013,20:40,Al-Nassr,Najran,2,0
2,1,23.08.2013,20:40,Al-Nahda,Al-Shoalah,2,2
3,1,23.08.2013,20:40,Al-Fateh,Al-Taawon,1,1
4,1,24.08.2013,20:40,Al-Ettifaq,Al-Raed,2,1
5,1,24.08.2013,20:40,Al-Hilal,Al Orubah,3,0
6,1,25.08.2013,20:40,Al-Faisaly,Al Ahli SC,1,3
7,1,26.08.2013,20:40,Al-Shabab,Al-Ittihad FC,1,4
8,2,30.08.2013,20:35,Najran,Al-Raed,1,0
9,2,30.08.2013,20:35,Al-Taawon,Al-Faisaly,1,1
10,2,30.08.2013,20:35,Al-Fateh,Al-Nahda,4,0
11,2,30.08.2013,20:35,Al-Ettifaq,Al-Hilal,1,3
12,2,31.08.2013,20:35,Al-Shoalah,Al-Shabab,0,1
13,2,31.08.2013,20:35,Al Orubah,Al-Ittihad FC,1,0
14,2,31.08.2013,20:35,Al Ahli SC,Al-Nassr,0,0
15,3,11.09.2013,20:25,Al Ahli SC,Al Orubah,1,1
16,3,12.09.2013,20:25,Al-Shabab,Al-Raed,5,2
17,3,13.09.2013,20:25,Najran,Al-Taawon,1,2
18,3,13.09.2013,20:25,Al-Ittihad FC,Al-Fateh,4,2
19,3,13.09.2013,20:25,Al-Ettifaq,Al-Shoalah,1,0
20,3,14.09.2013,20:25,Al-Nassr,Al-Nahda,4,1
21,3,14.09.2013,20:25,Al-Faisaly,Al-Hilal,1,3
22,4,20.09.2013,20:15,Al-Raed,Al-Nassr,0,3
23,4,20.09.2013,20:15,Al-Hilal,Al-Ittihad FC,5,2
24,4,21.09.2013,20:15,Al-Taawon,Al-Ettifaq,2,2
25,4,21.09.2013,20:15,Al-Shoalah,Najran,1,2
26,4,21.09.2013,20:15,Al Orubah,Al-Faisaly,1,2
27,4,23.09.2013,20:15,Al-Shabab,Al-Fateh,1,1
28,4,23.09.2013,20:15,Al-Nahda,Al Ahli SC,1,5
29,5,26.09.2013,20:10,Al-Nassr,Al-Shoalah,2,0
30,5,27.09.2013,20:10,Najran,Al-Ettifaq,1,0
