matchNo,Round,Date,Time,Team1,Team2,Score1,Score2
1,1,09.09.2011,20:30,Al-Ittihad FC,Al-Taawon,5,3
2,1,09.09.2011,20:30,Al-Fateh,Najran,2,2
3,1,09.09.2011,20:30,Al Qadisiya,Al-Ettifaq,0,1
4,1,10.09.2011,20:30,Hajer,Al-Hilal,1,2
5,1,10.09.2011,20:30,Al-Nassr,Al-Raed,1,0
6,1,10.09.2011,20:30,Al-Faisaly,Al-Shabab,1,3
7,1,10.09.2011,20:30,Al Ansar,Al Ahli SC,0,1
8,2,15.09.2011,20:25,Najran,Al-Ettifaq,0,3
9,2,15.09.2011,20:25,Al-Taawon,Hajer,2,1
10,2,15.09.2011,20:25,Al-Hilal,Al-Shabab,0,2
11,2,16.09.2011,20:25,Al-Raed,Al-Faisaly,1,4
12,2,16.09.2011,20:25,Al Ansar,Al Qadisiya,0,3
13,2,16.09.2011,20:25,Al Ahli SC,Al-Nassr,2,0
14,3,20.09.2011,18:20,Al-Ettifaq,Al-Ittihad FC,1,0
15,3,22.09.2011,20:20,Al-Shabab,Al Qadisiya,1,0
16,3,22.09.2011,20:20,Al-Fateh,Al-Raed,0,0
17,3,22.09.2011,20:20,Al-Faisaly,Al-Nassr,1,1
18,3,23.09.2011,20:20,Hajer,Al Ansar,1,0
19,3,23.09.2011,20:20,Al-Taawon,Al-Hilal,0,1
20,3,23.09.2011,20:20,Al Ahli SC,Najran,4,0
21,4,29.09.2011,20:10,Al-Raed,Al-Shabab,1,2
22,4,29.09.2011,20:10,Al-Hilal,Al Ahli SC,4,0
23,4,29.09.2011,20:10,Al-Ettifaq,Hajer,0,0
24,4,30.09.2011,20:10,Najran,Al-Faisaly,1,1
25,4,30.09.2011,20:10,Al-Nassr,Al-Fateh,1,2
26,4,30.09.2011,20:10,Al Qadisiya,Al-Taawon,1,1
27,4,02.10.2011,20:10,Al-Ittihad FC,Al Ansar,3,2
28,5,14.10.2011,19:55,Al-Shabab,Al-Ittihad FC,2,2
29,5,14.10.2011,19:55,Al-Raed,Najran,0,1
30,5,14.10.2011,19:55,Al-Fateh,Al Qadisiya,1,6
31,5,14.10.2011,19:55,Al Ansar,Al-Ettifaq,0,2
32,5,15.10.2011,19:55,Hajer,Al-Nassr,0,3
33,5,15.10.2011,19:55,Al-Faisaly,Al-Hilal,0,2
34,5,15.10.2011,19:55,Al Ahli SC,Al-Taawon,4,2
35,6,20.10.2011,19:50,Najran,Al-Shabab,1,4
36,6,20.10.2011,19:50,Hajer,Al-Faisaly,1,1
37,6,20.10.2011,19:50,Al Qadisiya,Al-Hilal,4,5
38,6,21.10.2011,19:50,Al-Taawon,Al Ansar,2,0
39,6,21.10.2011,19:50,Al-Nassr,Al-Ettifaq,1,3
40,6,21.10.2011,19:50,Al-Fateh,Al Ahli SC,2,2
41,7,28.10.2011,19:50,Al-Shabab,Al-Taawon,1,0
42,7,28.10.2011,19:50,Al-Raed,Hajer,1,2
43,7,28.10.2011,19:50,Al-Ettifaq,Al-Fateh,1,0
44,8,01.11.2011,19:45,Hajer,Al-Fateh,2,4
45,8,01.11.2011,19:45,Al-Hilal,Al-Raed,2,0
