matchNo,Round,Date,Time,Team1,Team2,Score1,Score2,Note
1,1,19.08. 2015,20:45,Al-Hilal,Al Wehda,2,0,
2,1,20.08. 2015,18:55,Al Khaleej,Al-Fateh,0,2,
3,1,20.08.2015,21:15,Najran,Al-Ittihad FC,1,2,
4,1,21.08.2015,19:15,Al-Taawon,Al Ahli SC,0,0,
5,1,21.08.2015,21:15,Al-Nassr,Hajer,0,0,
6,1,22.08.2015,18:55,Qadisiya,Al-Faisaly,1,0,
7,1,22.08.2015,21:00,Al-Shabab,Al-Raed,3,1,
8,2,27.08.2015,18:45,Al Khaleej,Al Ahli SC,0,4,
9,2,27.08.2015,21:00,Al-Raed,Al-Ittihad FC,0,2,
10,2,28.08.2015,18:45,Hajer,Al-Shabab,1,2,
11,2,28.08.2015,18:45,Al Qadisiya,Al-Nassr,2,2,
12,2,28.08.2015,21:00,Al-Faisaly,Al-Taawon,1,2,
13,2,29.08.2015,18:45,Al-Fateh,Al-Hilal,1,2,
14,2,29.08.2015,21:00,Al Wehda,Najran,1,1,
15,3,17.09.2015,20:15,Al-Shabab,Al Khaleej,0,0,
16,3,18.09.2015,18:45,Al-Taawon,Al Qadisiya,5,1,
17,3,18.09.2015,21:00,Al-Nassr,Najran,2,0,
18,3,18.09.2015,21:00,Al Ahli SC,Al Wehda,2,0,
19,3,19.09.2015,18:20,Al-Fateh,Hajer,1,1,
20,3,19.09.2015,21:00,Al-Ittihad FC,Al-Faisaly,1,2,
21,3,20.09.2015,18:35,Al-Hilal,Al-Raed,1,0,
22,4,16.10.2015,17:50,Hajer,Al Khaleej,1,2,
23,4,16.10.2015,18:15,Al-Raed,Al-Fateh,0,0,
24,4,16.10.2015,20:00,Al Wehda,Al-Faisaly,2,2,
25,4,17.10.2015,17:50,Al Qadisiya,Al-Ittihad FC,1,3,
26,4,17.10.2015,20:30,Najran,Al-Shabab,0,1,
27,4,18.10.2015,20:30,Al Ahli SC,Al-Nassr,4,2,
28,4,25.10.2015,20:00,Al-Hilal,Al-Taawon,3,1,
29,5,29.10.2015,17:40,Al Qadisiya,Al-Raed,1,1,
30,5,29.10.2015,17:40,Al Khaleej,Al-Taawon,1,1,
31,5,29.10.2015,18:00,Al-Faisaly,Hajer,3,1,
32,5,29.10.2015,20:15,Al Wehda,Al-Nassr,0,2,
33,5,30.10.2015,17:40,Al-Fateh,Al-Shabab,0,0,
34,5,30.10.2015,20:15,Najran,Al Ahli SC,0,1,
35,5,30.10.2015,20:30,Al-Ittihad FC,Al-Hilal,4,3,
36,6,02.11.2015,17:40,Hajer,Al Wehda,1,2,
37,6,02.11.2015,18:00,Al-Raed,Al Khaleej,0,2,
38,6,02.11.2015,20:15,Al-Nassr,Al-Faisaly,0,0,
39,6,03.11.2015,17:40,Al-Fateh,Al-Ittihad FC,1,1,
40,6,03.11.2015,17:55,Al-Hilal,Al Qadisiya,1,0,
41,6,03.11.2015,18:00,Al-Taawon,Najran,4,1,
42,6,03.11.2015,20:30,Al-Shabab,Al Ahli SC,1,1,
43,7,07.11.2015,17:35,Al Khaleej,Najran,3,1,
44,8,20.11.2015,17:30,Al-Fateh,Al Wehda,2,0,
45,8,20.11.2015,17:50,Al-Faisaly,Al-Raed,2,2,
46,8,20.11.2015,20:10,Najran,Hajer,2,0,
47,8,21.11.2015,17:30,Al Qadisiya,Al-Shabab,0,1,
