matchNo,Round,Date,Time,Team1,Team2,Score1,Score2,Note
48,8,21.11.2015,17:45,Al-Hilal,Al Khaleej,7,0,
49,8,21.11.2015,17:55,Al-Taawon,Al-Nassr,3,3,
50,8,22.11.2015,20:10,Al-Ittihad FC,Al Ahli SC,0,3,
51,9,25.11.2015,17:30,Hajer,Al-Taawon,1,4,
52,9,25.11.2015,20:00,Al-Raed,Al Wehda,1,0,
53,9,26.11.2015,17:45,Al-Nassr,Al-Fateh,3,1,
54,9,26.11.2015,20:00,Al Ahli SC,Al-Faisaly,1,1,
55,9,27.11.2015,17:30,Al Khaleej,Al-Ittihad FC,2,2,
56,9,27.11.2015,20:00,Al-Shabab,Al-Hilal,0,1,
57,9,28.11.2015,19:40,Najran,Al Qadisiya,1,1,
58,10,03.12.2015,17:50,Al-Raed,Al-Nassr,0,0,
59,10,03.12.2015,20:00,Al Wehda,Al Qadisiya,1,0,
60,10,03.12.2015,20:00,Al Ahli SC,Hajer,1,0,
61,10,04.12.2015,17:30,Al-Fateh,Al-Taawon,1,0,
62,10,04.12.2015,17:45,Al-Faisaly,Al Khaleej,1,2,
63,10,04.12.2015,20:00,Al-Ittihad FC,Al-Shabab,2,1,
64,10,04.12.2015,20:00,Al-Hilal,Najran,2,0,
65,11,09.12.2015,18:20,Najran,Al-Faisaly,0,1,
66,11,09.12.2015,20:00,Al-Taawon,Al-Raed,2,0,
67,11,10.12.2015,17:30,Al Khaleej,Al-Nassr,1,1,
68,11,10.12.2015,20:00,Al-Ittihad FC,Hajer,5,0,
69,11,10.12.2015,20:15,Al-Hilal,Al Ahli SC,1,2,
70,11,11.12.2015,17:30,Al Qadisiya,Al-Fateh,2,1,
71,11,11.12.2015,20:00,Al Wehda,Al-Shabab,2,1,
72,12,14.12.2015,17:30,Hajer,Al-Hilal,1,5,
73,12,14.12.2015,17:45,Al-Shabab,Al-Faisaly,0,1,
74,12,14.12.2015,20:00,Al-Nassr,Al-Ittihad FC,3,0,
75,12,14.12.2015,20:00,Al Ahli SC,Al-Raed,3,1,
76,12,15.12.2015,17:30,Al Khaleej,Al Qadisiya,0,0,
77,12,15.12.2015,17:55,Al-Taawon,Al Wehda,4,2,
78,12,15.12.2015,20:00,Najran,Al-Fateh,1,3,
79,13,19.12.2015,17:30,Al Qadisiya,Hajer,1,1,
80,13,19.12.2015,17:50,Al-Faisaly,Al-Hilal,0,1,
81,13,19.12.2015,20:15,Al-Shabab,Al-Nassr,1,0,
82,13,20.12.2015,15:15,Al-Raed,Najran,2,3,
83,13,20.12.2015,17:30,Al-Fateh,Al Ahli SC,0,2,
84,13,20.12.2015,20:15,Al-Ittihad FC,Al-Taawon,4,1,
85,13,20.12.2015,20:15,Al Wehda,Al Khaleej,0,0,
86,7,24.12.2015,20:00,Al-Nassr,Al-Hilal,1,2,
87,7,24.12.2015,20:00,Al Ahli SC,Al Qadisiya,2,0,
88,7,25.12.2015,15:15,Al-Faisaly,Al-Fateh,1,2,
89,7,25.12.2015,17:35,Hajer,Al-Raed,1,2,
90,7,25.12.2015,20:00,Al-Shabab,Al-Taawon,0,1,
91,7,25.12.2015,20:00,Al Wehda,Al-Ittihad FC,0,2,
92,14,27.01.2016,18:00,Hajer,Al-Nassr,0,1,
93,14,27.01.2016,20:30,Al Wehda,Al-Hilal,1,3,
94,14,28.01.2016,15:45,Al-Raed,Al-Shabab,0,1,
95,14,28.01.2016,18:15,Al-Faisaly,Al Qadisiya,1,0,
96,14,28.01.2016,20:30,Al Ahli SC,Al-Taawon,2,2,
97,14,29.01.2016,18:00,Al-Fateh,Al Khaleej,0,0,
98,14,29.01.2016,20:30,Al-Ittihad FC,Najran,1,0,
99,15,04.02.2016,18:20,Al-Nassr,Al Qadisiya,0,0,
100,15,04.02.2016,20:30,Al-Ittihad FC,Al-Raed,6,2,
101,15,05.02.2016,18:20,Al-Hilal,Al-Fateh,3,3,
102,15,05.02.2016,20:30,Al Ahli SC,Al Khaleej,1,1,
103,15,06.02.2016,15:55,Al-Taawon,Al-Faisaly,3,1,
104,15,06.02.2016,18:20,Al-Shabab,Hajer,3,1,
105,15,06.02.2016,18:50,Najran,Al Wehda,2,2,
106,16,10.02.2016,18:10,Al Khaleej,Al-Shabab,1,2,
107,16,10.02.2016,20:40,Al Wehda,Al Ahli SC,0,1,
108,16,11.02.2016,18:10,Al Qadisiya,Al-Taawon,1,2,
109,16,11.02.2016,18:35,Al-Raed,Al-Hilal,0,1,
110,16,11.02.2016,20:40,Najran,Al-Nassr,4,3,
111,16,12.02.2016,18:10,Hajer,Al-Fateh,1,0,
112,16,13.02.2016,18:30,Al-Faisaly,Al-Ittihad FC,1,3,
113,17,15.02.2016,18:40,Al-Taawon,Al-Hilal,1,0,
114,17,15.02.2016,20:40,Al-Nassr,Al Ahli SC,1,1,
115,17,18.02.2016,18:30,Al-Shabab,Najran,3,2,
116,17,18.02.2016,20:40,Al-Ittihad FC,Al Qadisiya,1,1,
117,17,20.02.2016,18:15,Al-Fateh,Al-Raed,1,0,
118,17,20.02.2016,18:15,Al Khaleej,Hajer,0,1,
119,17,20.02.2016,20:40,Al-Faisaly,Al Wehda,2,1,
120,18,25.02.2016,18:30,Al-Shabab,Al-Fateh,1,0,
121,18,25.02.2016,18:40,Al-Taawon,Al Khaleej,2,3,
122,18,26.02.2016,18:20,Hajer,Al-Faisaly,0,1,
123,18,26.02.2016,18:40,Al-Raed,Al Qadisiya,2,1,
124,18,26.02.2016,20:40,Al-Nassr,Al Wehda,1,1,
125,18,27.02.2016,20:20,Al Ahli SC,Najran,1,2,
126,18,27.02.2016,20:45,Al-Hilal,Al-Ittihad FC,0,1,
127,19,04.03.2016,18:25,Al Khaleej,Al-Raed,1,0,
128,19,04.03.2016,20:45,Najran,Al-Taawon,1,1,
129,19,04.03.2016,20:45,Al Wehda,Hajer,1,0,
130,19,05.03.2016,18:45,Al-Faisaly,Al-Nassr,2,2,
131,19,05.03.2016,20:45,Al-Ittihad FC,Al-Fateh,0,0,
132,19,06.03.2016,18:25,Al Qadisiya,Al-Hilal,0,0,
133,19,06.03.2016,20:45,Al Ahli SC,Al-Shabab,3,1,
134,20,10.03.2016,20:30,Al-Hilal,Al-Nassr,2,0,
135,20,11.03.2016,18:25,Al Qadisiya,Al Ahli SC,0,2,
136,20,11.03.2016,19:10,Najran,Al Khaleej,2,3,
137,20,11.03.2016,20:45,Al-Taawon,Al-Shabab,4,0,
138,20,12.03.2016,18:25,Al-Fateh,Al-Faisaly,2,1,
139,20,12.03.2016,18:50,Al-Raed,Hajer,2,1,
140,20,12.03.2016,20:45,Al-Ittihad FC,Al Wehda,0,2,
141,21,01.04.2016,19:00,Al-Raed,Al-Faisaly,5,0,
142,21,01.04.2016,21:00,Al-Nassr,Al-Taawon,3,2,
143,21,01.04.2016,21:00,Al Wehda,Al-Fateh,1,3,
144,21,02.04.2016,18:35,Al Khaleej,Al-Hilal,0,3,
145,21,02.04.2016,21:00,Al Ahli SC,Al-Ittihad FC,4,2,
146,21,03.04.2016,18:35,Hajer,Najran,1,2,
147,21,03.04.2016,21:00,Al-Shabab,Al Qadisiya,0,2,
148,22,07.04.2016,21:00,Al Wehda,Al-Raed,3,1,
149,22,08.04.2016,18:40,Al Qadisiya,Najran,4,2,
150,22,08.04.2016,21:00,Al-Taawon,Hajer,4,0,
151,22,09.04.2016,18:40,Al-Fateh,Al-Nassr,2,1,
152,22,09.04.2016,18:55,Al-Faisaly,Al Ahli SC,1,2,
153,22,09.04.2016,21:00,Al-Ittihad FC,Al Khaleej,4,1,
154,22,09.04.2016,21:00,Al-Hilal,Al-Shabab,1,1,
155,23,15.04.2016,18:55,Al-Nassr,Al-Raed,1,2,
156,23,15.04.2016,21:10,Najran,Al-Hilal,2,3,
157,23,16.04.2016,18:45,Hajer,Al Ahli SC,0,1,
158,23,16.04.2016,18:45,Al Khaleej,Al-Faisaly,2,1,
159,23,16.04.2016,21:10,Al-Shabab,Al-Ittihad FC,1,2,
160,23,17.04.2016,18:45,Al Qadisiya,Al Wehda,1,1,
161,23,17.04.2016,21:00,Al-Taawon,Al-Fateh,1,2,
162,24,22.04.2016,18:55,Al-Shabab,Al Wehda,1,1,
163,24,22.04.2016,19:00,Al-Faisaly,Najran,2,2,
164,24,22.04.2016,21:10,Al-Raed,Al-Taawon,1,1,
165,24,23.04.2016,19:00,Al-Nassr,Al Khaleej,1,1,
166,24,24.04.2016,18:45,Hajer,Al-Ittihad FC,0,5,
167,24,24.04.2016,21:15,Al Ahli SC,Al-Hilal,3,1,
168,24,25.04.2016,18:45,Al-Fateh,Al Qadisiya,2,2,
169,25,08.05.2016,21:00,Al-Raed,Al Ahli SC,2,5,
170,25,08.05.2016,21:00,Al-Ittihad FC,Al-Nassr,0,5,
171,25,08.05.2016,21:00,Al-Hilal,Hajer,4,1,
172,25,08.05.2016,21:00,Al-Fateh,Najran,3,1,
173,25,08.05.2016,21:00,Al-Faisaly,Al-Shabab,0,0,
174,25,08.05.2016,21:00,Al Wehda,Al-Taawon,2,1,
175,25,08.05.2016,21:00,Al Qadisiya,Al Khaleej,2,0,
176,26,12.05.2016,19:10,Al-Hilal,Al-Faisaly,0,0,
177,26,13.05.2016,21:00,Al-Taawon,Al-Ittihad FC,2,1,
178,26,13.05.2016,21:00,Al-Nassr,Al-Shabab,1,2,
179,26,13.05.2016,21:00,Al Ahli SC,Al-Fateh,3,2,
180,26,14.05.2016,18:55,Al Khaleej,Al Wehda,1,4,
181,26,14.05.2016,20:45,Najran,Al-Raed,3,3,
182,26,14.05.2016,20:45,Hajer,Al Qadisiya,0,2,
183,Relegation,19.05.2016,20:45,Al Batin,Al-Raed,2,1,Relegation
184,Relegation,26.05.2016,20:45,Al-Raed,Al Batin,4,1,Relegation
