matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
69,14.01.2006,20:00,Al Ahli SC,Al-Nassr,3,0,
70,15.01.2006,20:00,Al-Ittihad FC,Al Wehda,2,1,
71,15.01.2006,20:00,Al-Hilal,Al Ansar,3,1,
72,19.01.2006,20:00,Al-Nassr,Al-Ittihad FC,1,1,
73,19.01.2006,20:00,Al Wehda,Abha,2,2,
74,19.01.2006,20:00,Al Qadisiya,Al-Hazem,0,1,
75,20.01.2006,20:00,Al-Shabab,Al Ahli SC,1,2,
76,20.01.2006,20:00,Al-Ettifaq,Al-Hilal,1,1,
77,20.01.2006,20:00,Al Ansar,Al Taee,1,1,
78,23.01.2006,20:00,Al-Ittihad FC,Abha,1,0,
79,26.01.2006,20:00,Al-Hilal,Al Taee,0,2,
80,26.01.2006,20:00,Al-Hazem,Al Ahli SC,1,1,
81,26.01.2006,20:00,Al Wehda,Al Ansar,0,0,
82,27.01.2006,20:00,Al-Shabab,Al-Ittihad FC,1,1,
83,27.01.2006,20:00,Al-Ettifaq,Al Qadisiya,2,1,
84,27.01.2006,20:00,Abha,Al-Nassr,2,2,
85,02.02.2006,20:00,Abha,Al Ansar,2,3,
86,03.02.2006,20:00,Al-Hazem,Al-Nassr,2,2,
87,09.02.2006,20:00,Al-Ittihad FC,Al-Hazem,0,2,
88,10.02.2006,20:00,Al Taee,Al Wehda,1,1,
89,10.02.2006,20:00,Al Ansar,Al-Nassr,1,2,
90,11.02.2006,20:00,Al Ahli SC,Al-Ettifaq,0,1,
91,11.02.2006,20:00,Abha,Al-Shabab,0,1,
92,13.02.2006,20:00,Al-Ittihad FC,Al-Hilal,2,2,
93,16.02.2006,20:00,Al-Nassr,Al Taee,3,2,
94,16.02.2006,20:00,Al-Hazem,Abha,3,1,
95,16.02.2006,20:00,Al Qadisiya,Al Ahli SC,0,3,
96,17.02.2006,20:00,Al-Shabab,Al Ansar,2,1,
97,17.02.2006,20:00,Al-Ettifaq,Al-Ittihad FC,2,2,
98,18.02.2006,20:00,Al-Hilal,Al Wehda,4,0,
99,20.02.2006,20:00,Al Taee,Al-Ittihad FC,3,4,
100,21.02.2006,20:00,Al-Ettifaq,Al-Nassr,1,0,
101,23.02.2006,20:00,Al Ahli SC,Al-Hilal,2,3,
102,24.02.2006,20:00,Al-Shabab,Al Taee,2,0,
103,24.02.2006,20:00,Al-Ittihad FC,Al Qadisiya,2,0,
104,24.02.2006,20:00,Al-Hazem,Al Ansar,2,0,
105,26.02.2006,20:00,Al Wehda,Al-Nassr,3,2,
106,26.02.2006,20:00,Abha,Al-Ettifaq,1,0,
107,28.02.2006,20:00,Al-Ittihad FC,Al-Shabab,1,2,
108,03.03.2006,20:00,Al-Nassr,Al-Hilal,1,2,
109,04.03.2006,20:00,Al Taee,Al-Hazem,0,1,
110,04.03.2006,20:00,Al Qadisiya,Abha,2,1,
111,04.03.2006,20:00,Al Ansar,Al-Ettifaq,0,2,
112,05.03.2006,20:00,Al-Ittihad FC,Al Ahli SC,2,2,
113,09.03.2006,20:00,Al-Nassr,Al Qadisiya,0,0,
114,09.03.2006,20:00,Al-Ittihad FC,Al-Ettifaq,1,1,
115,13.03.2006,20:00,Al-Ittihad FC,Al Ansar,5,2,
116,16.03.2006,20:00,Al-Shabab,Al-Nassr,1,2,
117,16.03.2006,20:00,Al-Ettifaq,Al Taee,4,0,
118,17.03.2006,20:00,Al-Hilal,Al-Ittihad FC,0,1,
119,17.03.2006,20:00,Al-Hazem,Al Wehda,2,3,
120,17.03.2006,20:00,Al Ahli SC,Abha,7,1,
121,18.03.2006,20:00,Al Ansar,Al Qadisiya,0,1,
122,23.03.2006,20:00,Al Taee,Al-Nassr,2,4,
123,23.03.2006,20:00,Al Ahli SC,Al-Ittihad FC,1,1,
124,27.03.2006,19:00,Al-Ittihad FC,Al-Nassr,1,1,
125,27.03.2006,19:00,Al Wehda,Al-Shabab,1,1,
126,27.03.2006,19:00,Al Qadisiya,Al-Hilal,1,0,
127,01.04.2006,19:00,Al-Shabab,Al-Hilal,0,1,
128,01.04.2006,19:00,Al-Nassr,Al-Hazem,4,2,
129,01.04.2006,19:00,Al Wehda,Al-Ettifaq,2,3,
130,01.04.2006,19:00,Al Taee,Al Qadisiya,1,2,
131,01.04.2006,19:00,Al Ahli SC,Al Ansar,4,0,
132,01.04.2006,19:00,Abha,Al-Ittihad FC,1,3,
133,12.04.2006,20:30,Al-Ittihad FC,Al Ahli SC,3,0,Quarter-finals
134,16.04.2006,20:30,Al-Hilal,Al-Ittihad FC,2,1,Semi-finals
135,21.04.2006,20:35,Al-Shabab,Al-Hilal,3,0,Final
