matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
1,21.09.2005,19:00,Al Qadisiya,Al Wehda,2,1,
2,27.09.2005,19:00,Al-Hilal,Abha,3,2,
3,28.09.2005,19:00,Al-Shabab,Al-Hazem,4,2,
4,01.10.2005,19:00,Al Ansar,Abha,1,1,
5,02.10.2005,19:00,Al-Hazem,Al-Hilal,1,2,
6,02.10.2005,19:00,Al Wehda,Al Ahli SC,1,5,
7,02.10.2005,19:00,Al Qadisiya,Al-Nassr,2,1,
8,03.10.2005,19:00,Al-Ettifaq,Al-Shabab,2,2,
9,07.10.2005,19:00,Al Wehda,Al-Ittihad FC,1,1,
10,08.10.2005,19:00,Al-Shabab,Al Qadisiya,6,1,
11,08.10.2005,19:00,Al-Ettifaq,Al-Hazem,2,2,
12,08.10.2005,19:00,Abha,Al Taee,1,3,
13,11.10.2005,19:00,Al-Nassr,Al Ahli SC,1,1,
14,12.10.2005,19:00,Al-Hilal,Al-Ettifaq,2,0,
15,12.10.2005,19:00,Al-Hazem,Al Qadisiya,1,1,
16,12.10.2005,19:00,Abha,Al Wehda,1,7,
17,13.10.2005,19:00,Al Taee,Al Ansar,0,0,
18,16.10.2005,19:00,Al Ahli SC,Al-Shabab,2,2,
19,17.10.2005,19:00,Al Ansar,Al-Hilal,0,2,
20,21.10.2005,19:00,Al Qadisiya,Al-Ettifaq,2,1,
21,22.10.2005,19:00,Al-Nassr,Abha,1,0,
22,22.10.2005,19:00,Al Taee,Al-Hilal,1,0,
23,22.10.2005,19:00,Al Ansar,Al Wehda,1,3,
24,22.10.2005,19:00,Al Ahli SC,Al-Hazem,3,0,
25,10.11.2005,20:00,Al-Ettifaq,Al Ahli SC,0,0,
26,11.11.2005,20:00,Al-Shabab,Abha,4,0,
27,11.11.2005,20:00,Al Wehda,Al Taee,3,1,
28,12.11.2005,20:00,Al-Hilal,Al Qadisiya,1,0,
29,12.11.2005,20:00,Al-Hazem,Al-Ittihad FC,3,7,
30,13.11.2005,20:00,Al-Nassr,Al Ansar,1,1,
31,17.11.2005,20:00,Al Ahli SC,Al Qadisiya,1,1,
32,18.11.2005,20:00,Al Wehda,Al-Hilal,1,2,
33,18.11.2005,20:00,Abha,Al-Hazem,1,3,
34,19.11.2005,20:00,Al Ansar,Al-Shabab,3,5,
35,21.11.2005,20:00,Al Ahli SC,Al Taee,2,0,
36,24.11.2005,20:00,Al-Ettifaq,Abha,3,2,
37,25.11.2005,20:00,Al Ansar,Al-Hazem,0,0,
38,26.11.2005,20:00,Al-Hilal,Al Ahli SC,4,1,
39,26.11.2005,20:00,Al Taee,Al-Shabab,1,2,
40,26.11.2005,20:00,Al Qadisiya,Al-Ittihad FC,2,4,
41,27.11.2005,20:00,Al-Nassr,Al Wehda,1,1,
42,02.12.2005,20:00,Al-Hilal,Al-Nassr,1,1,
43,02.12.2005,20:00,Al-Hazem,Al Taee,1,1,
44,02.12.2005,20:00,Al-Ettifaq,Al Ansar,1,0,
45,03.12.2005,20:00,Al-Shabab,Al Wehda,3,0,
46,03.12.2005,20:00,Abha,Al Qadisiya,1,0,
47,07.12.2005,20:00,Al-Nassr,Al-Ettifaq,1,0,
48,09.12.2005,20:00,Al Wehda,Al-Hazem,0,1,
49,09.12.2005,20:00,Abha,Al Ahli SC,2,2,
50,11.12.2005,20:00,Al-Nassr,Al-Shabab,1,3,
51,11.12.2005,20:00,Al Taee,Al-Ettifaq,2,1,
52,11.12.2005,20:00,Al Qadisiya,Al Ansar,2,0,
53,15.12.2005,20:00,Al Qadisiya,Al Taee,2,2,
54,15.12.2005,20:00,Al Ansar,Al Ahli SC,1,3,
55,16.12.2005,20:00,Al-Ettifaq,Al Wehda,1,2,
56,18.12.2005,20:00,Al-Hilal,Al-Shabab,1,1,
57,22.12.2005,20:00,Al Wehda,Al Qadisiya,1,1,
58,22.12.2005,20:00,Al Taee,Al Ahli SC,0,0,
59,23.12.2005,20:00,Al-Hazem,Al-Shabab,0,0,
60,23.12.2005,20:00,Al Ansar,Al-Ittihad FC,0,4,
61,23.12.2005,20:00,Abha,Al-Hilal,0,5,
62,06.01.2006,20:00,Al Ahli SC,Al Wehda,0,1,
63,07.01.2006,20:00,Al-Shabab,Al-Ettifaq,1,0,
64,07.01.2006,20:00,Al-Ittihad FC,Al Taee,1,0,
65,07.01.2006,20:00,Al-Hilal,Al-Hazem,2,2,
66,14.01.2006,20:00,Al-Hazem,Al-Ettifaq,1,3,
67,14.01.2006,20:00,Al Taee,Abha,1,2,
68,14.01.2006,20:00,Al Qadisiya,Al-Shabab,0,3,
