Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official
Sat ,13/09/2008,1,10:15:00 PM,Al-Shabab,Najran,Prince Faisal bin Fahad Stadium,Riyadh,1,2,1,,Khalid Al-Zahrani,Yousef Merza,Sultan Al-Khaldi,Meree Al-Awagi
Sat ,13/09/2008,2,10:15:00 PM,Al-Ettifaq,Al-Watani,Prince Mohamed bin Fahd Stadium,Dammam,1,3,0,,Khalil Al-Ghamdi,Mohammed Al-Ghamdi,Adnan Al-Beteh,Abdulelah Al-Mousa
Sat ,13/09/2008,3,10:15:00 PM,Al-Ittihad,Al-Raed,Prince Abdullah Al-Faisal Stadium,Jeddah,1,5,1,,Saad Al-Kathiri,Abdulaziz Al-Asmari,Bader Al-Shamrani,Abdulrahman Al-Amri
Sun ,14/09/2008,4,10:15:00 PM,Al-Nassr,Al-Ahli,King Fahad International Stadium,Riyadh,1,2,1,,Abdulrahman Al-Jarwan,Ibrahim Al-Debasi,Khaled Al-Degairi,Metref Al-Qahtani
Sun ,14/09/2008,5,10:15:00 PM,Al-Wehda,Al-Hazem,Alhazm Club Stadium,Al-Ras,1,2,1,,Mamdouh Al-Mirdasi,Abdulaziz Al-Kathiri,Abdullah Al-Shlwi,Saleh Al-Aqeel
Sun ,14/09/2008,6,10:15:00 PM,Abha,Al-Hilal,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,1,0,3,,Abdullah Al-Qahtani,Ibrahim Al-Nami,Fahad Al-Amri,Abdullah Al-Qubaisi
Thu ,18/09/2008,7,10:15:00 PM,Al-Hilal,Al-Raed,Prince Faisal bin Fahad Stadium,Riyadh,2,2,0,,Metref Al-Qahtani,Yousef Merza,Faiz Al-Kabli,Meree Al-Awagi
Thu ,18/09/2008,8,10:15:00 PM,Al-Wehda,Al-Nassr,King Abdul Aziz Sport City Stadium,Makkah,2,1,2,,Abdulrahman Al-Amri,Ibrahim Al-Nami,Moaid Al-Sayeg,Sami Al-Nemri
Thu ,18/09/2008,9,10:15:00 PM,Najran,Abha,AlAkhdoud Club Stadium,Najran,2,1,1,,Daffer Al-Shehri,Ibrahim Al-Debasi,Waleed Al-boaimi,Saleh Al-Sqoor
Thu ,18/09/2008,10,10:15:00 PM,Al-Watani,Al-Ittihad,King Khalid Sport City Stadium,Tabuk,2,1,2,,Mansor Al-Shamari,Abdulaziz Al-Kathiri,Abdulaziz Al-Howimel,Fardan Al-Qahtani
Thu ,18/09/2008,11,10:15:00 PM,Al-Ahli,Al-Shabab,Prince Abdullah Al-Faisal Stadium,Jeddah,2,2,1,,Khalil Al-Ghamdi,Nassir Al-Mudhaffr,Abdulaziz Al-Asmari,Awadh Al-Amri
Thu ,18/09/2008,12,10:15:00 PM,Al-Hazem,Al-Ettifaq,Alhazm Club Stadium,Al-Ras,2,1,1,,Abdelrahman Al-Qahtani,Mohammed Al-Ghamdi,Yahya Al-Shahrani,Abdulrahman Al-Jarwan
