Date,Date.2,Match No.,Time,Home_team,Away_team,Stadium,City,Round,Home_team_score,Away_team_score,Remark,Referee_name,Assistant Referee 1,Assistant Referee 2,Fourth official
Sat ,04/10/2008,13,8:00:00 PM,Al-Shabab,Al-Wehda,Prince Faisal bin Fahad Stadium,Riyadh,3,4,2,,Abdulrahman Al-Jarwan,Ibrahim Al-Debasi,Khaled Al-Degairi,Fahad Al-Mirdasi
Sat ,04/10/2008,14,8:00:00 PM,Al-Ettifaq,Al-Nassr,Prince Mohamed bin Fahd Stadium,Dammam,3,1,1,,Khalid Al-Zahrani,Nassir Al-Mudhaffr,Yahya Al-Shahrani,Shaker Al-Twairgi
Sat ,04/10/2008,15,8:00:00 PM,Al-Raed,Al-Watani,King Abdullah Sport City Stadium,Buraidah,3,3,2,,Abdulrazaq Al-Magahwi,Abdullah Al-Abad,Adnan Al-Beteh,Saleh Al-Aqeel
Sat ,04/10/2008,16,8:00:00 PM,Abha,Al-Ahli,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,3,0,0,,Meree Al-Awagi,Saleh Al-Mutairi,Abdullah Al-Shlwi,Abdelrahman Al-Qahtani
Sat ,04/10/2008,17,8:00:00 PM,Najran,Al-Hilal,AlAkhdoud Club Stadium,Najran,3,2,1,,Abdullah Al-Qubaisi,Mohammed Al-Ghamdi,Yahya Al-Meteq,Saleh Al-Sqoor
Sat ,04/10/2008,18,8:00:00 PM,Al-Ittihad,Al-Hazem,Prince Abdullah Al-Faisal Stadium,Jeddah,3,3,0,,Abbas Ibrahim,Ibrahim Al-Nami,Bader Al-Shamrani,Awadh Al-Amri
Wed ,08/10/2008,19,8:00:00 PM,Al-Nassr,Al-Ittihad,Prince Faisal bin Fahad Stadium,Riyadh,4,2,2,,Abdulrahman Al-Amri,Mohammed Al-Ghamdi,Abdulaziz Al-Kathiri,Meree Al-Awagi
Wed ,08/10/2008,20,8:00:00 PM,Al-Shabab,Al-Ettifaq,King Fahad International Stadium,Riyadh,4,1,0,,Saad Al-Kathiri,Abdullah Al-Abad,Fahad Al-Amri,Abdulaziz Al-Funaitel
Wed ,08/10/2008,21,8:00:00 PM,Al-Watani,Al-Hilal,King Khalid Sport City Stadium,Tabuk,4,1,3,,Mamdouh Al-Mirdasi,Abdulaziz Al-Asmari,Nawaf Al-Otaibi,Dhafer Al-Qarni
Wed ,08/10/2008,22,8:00:00 PM,Abha,Al-Wehda,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,4,2,2,,Metref Al-Qahtani,Abdulaziz Al-Howimel,Abdullah Asiri,Abdullah Al-Qubaisi
Wed ,08/10/2008,23,8:00:00 PM,Al-Ahli,Najran,Prince Abdullah Al-Faisal Stadium,Jeddah,4,2,0,,Abdullah Al-Qahtani,Faiz Al-Kabli,Moaid Al-Sayeg,Sami Al-Nemri
Wed ,08/10/2008,24,8:00:00 PM,Al-Hazem,Al-Raed,Alhazm Club Stadium,Al-Ras,4,1,0,,Daffer Al-Shehri,Nassir Al-Mudhaffr,Hmood Al-Shamari,Abdulrahman Al-Jarwan
Sun ,12/10/2008,25,7:55:00 PM,Al-Hilal,Al-Ahli,King Fahad International Stadium,Riyadh,5,0,0,,Abdulrahman Al-Amri,Ibrahim Al-Debasi,Abdulaziz Al-Asmari,Saad Al-Kathiri
Sun ,12/10/2008,26,7:55:00 PM,Al-Wehda,Najran,King Abdul Aziz Sport City Stadium,Makkah,5,2,1,,Abdelrahman Al-Qahtani,Yahya Al-Shahrani,Yahya Al-Meteq,Fahad Al-Mirdasi
Sun ,12/10/2008,27,7:55:00 PM,Al-Raed,Al-Nassr,King Abdullah Sport City Stadium,Buraidah,5,0,1,,Mansor Al-Shamari,Abdulaziz Al-Kathiri,Ahmed Fakihi,Saleh Al-Aqeel
Sun ,12/10/2008,28,7:55:00 PM,Al-Watani,Al-Hazem,King Khalid Sport City Stadium,Tabuk,5,3,3,,Meree Al-Awagi,Abdullah Al-Abad,Ziad Al-Mansor,Fardan Al-Qahtani
Sun ,12/10/2008,29,7:55:00 PM,Al-Ittihad,Al-Shabab,Prince Abdullah Al-Faisal Stadium,Jeddah,5,2,1,,Daffer Al-Shehri,Nassir Al-Mudhaffr,Faiz Al-Kabli,Sami Al-Nemri
Tue ,14/10/2008,30,7:55:00 PM,Al-Ettifaq,Abha,Prince Mohamed bin Fahd Stadium,Dammam,5,3,1,,Abbas Ibrahim,Sultan Al-Khaldi,Waleed Al-boaimi,Shaker Al-Twairgi
Fri ,17/10/2008,59,7:55:00 PM,Najran,Al-Hazem,AlAkhdoud Club Stadium,Najran,10,2,1,,Mamdouh Al-Mirdasi,Abdulaziz Al-Asmari,Saleh Al-Mutairi,Saleh Al-Sqoor
Fri ,17/10/2008,60,7:55:00 PM,Al-Wehda,Al-Raed,King Abdul Aziz Sport City Stadium,Makkah,10,3,1,,Abdulrazaq Al-Magahwi,Adnan Al-Beteh,Bader Al-Shamrani,Abdulrahman Al-Amri
Fri ,17/10/2008,48,8:00:00 PM,Al-Ahli,Al-Ittihad,Prince Abdullah Al-Faisal Stadium,Jeddah,8,1,2,,Christian Brighi,Andrea Stefani,Christian Bagnoli,Paolo Dondarini
Sat ,18/10/2008,43,7:55:00 PM,Al-Hilal,Al-Nassr,King Fahad International Stadium,Riyadh,8,2,1,,Paolo Dondarini,Andrea Stefani,Christian Bagnoli,Christian Brighi
Wed ,22/10/2008,31,7:45:00 PM,Al-Nassr,Al-Watani,Prince Faisal bin Fahad Stadium,Riyadh,6,1,0,,Abbas Ibrahim,Ibrahim Al-Nami,Bader Al-Shamrani,Mamdouh Al-Mirdasi
Wed ,22/10/2008,32,7:45:00 PM,Al-Shabab,Al-Raed,King Fahad International Stadium,Riyadh,6,1,4,,Khalid Al-Zahrani,Abdulaziz Al-Kathiri,Abdulaziz Al-Asmari,Daffer Al-Shehri
Wed ,22/10/2008,33,7:45:00 PM,Abha,Al-Ittihad,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,6,1,2,,Abdulrahman Al-Jarwan,Ibrahim Al-Debasi,Khaled Al-Degairi,Abdelrahman Al-Qahtani
Wed ,22/10/2008,34,7:45:00 PM,Najran,Al-Ettifaq,AlAkhdoud Club Stadium,Najran,6,0,2,,Abdullah Al-Qubaisi,Faiz Al-Kabli,Yahya Al-Shahrani,Saleh Al-Sqoor
Wed ,22/10/2008,35,7:45:00 PM,Al-Ahli,Al-Wehda,Prince Abdullah Al-Faisal Stadium,Jeddah,6,0,0,,Saad Al-Kathiri,Abdullah Al-Abad,Nassir Al-Mudhaffr,Sami Al-Nemri
Wed ,22/10/2008,36,7:45:00 PM,Al-Hazem,Al-Hilal,Alhazm Club Stadium,Al-Ras,6,1,2,,Khalil Al-Ghamdi,Mohammed Al-Ghamdi,Sultan Al-Khaldi,Saleh Al-Aqeel
Wed ,29/10/2008,40,7:45:00 PM,Al-Raed,Abha,King Abdullah Sport City Stadium,Buraidah,7,3,1,,Metref Al-Qahtani,Abdulwahab Al-Zahrani,Bader Al-Shamrani,Saleh Al-Aqeel
Wed ,29/10/2008,41,7:45:00 PM,Al-Watani,Al-Shabab,King Khalid Sport City Stadium,Tabuk,7,0,2,,Abdullah Al-Qahtani,Yahya Al-Shahrani,Yahya Al-Meteq,Abdullah Al-Garboue
Wed ,29/10/2008,42,7:45:00 PM,Al-Ittihad,Najran,Prince Abdullah Al-Faisal Stadium,Jeddah,7,3,2,,Abdelrahman Al-Qahtani,Waleed Al-boaimi,Fahad Al-Amri,Awadh Al-Amri
Thu ,30/10/2008,39,7:40:00 PM,Al-Nassr,Al-Hazem,Prince Faisal bin Fahad Stadium,Riyadh,7,3,1,,Abdulrazaq Al-Magahwi,Abdulaziz Al-Kathiri,Abdullah Al-Shlwi,Abdulaziz Al-Funaitel
Mon ,03/11/2008,44,7:45:00 PM,Abha,Al-Watani,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,8,2,2,,Yaseer Madani,Abdulaziz Al-Kathiri,Moaid Al-Sayeg,Abdullah Al-Qubaisi
Tue ,04/11/2008,37,7:45:00 PM,Al-Hilal,Al-Wehda,King Fahad International Stadium,Riyadh,7,0,0,,Khalil Al-Ghamdi,Mohammed Al-Ghamdi,Fahad Al-Amri,Metref Al-Qahtani
Tue ,04/11/2008,38,7:45:00 PM,Al-Ahli,Al-Ettifaq,Prince Abdullah Al-Faisal Stadium,Jeddah,7,1,1,,Abdelrahman Al-Qahtani,Ibrahim Al-Debasi,Abdullah Al-Ahmari,Sami Al-Nemri
Tue ,04/11/2008,46,7:45:00 PM,Al-Shabab,Al-Hazem,Prince Faisal bin Fahad Stadium,Riyadh,8,2,0,,Saad Al-Kathiri,Faiz Al-Kabli,Abdulaziz Al-Howimel,Abdullah Al-Qahtani
Tue ,04/11/2008,63,7:45:00 PM,Najran,Al-Nassr,AlAkhdoud Club Stadium,Najran,11,1,0,,Meree Al-Awagi,Ibrahim Al-Nami,Bader Al-Shamrani,Mohammed Al-Harthi
Thu ,20/11/2008,49,7:40:00 PM,Al-Watani,Najran,King Khalid Sport City Stadium,Tabuk,9,3,1,,Khalid Al-Zahrani,Yousef Merza,Abdulrahman Al-Zahrani,Fardan Al-Qahtani
Fri ,21/11/2008,50,7:40:00 PM,Al-Ittihad,Al-Wehda,Prince Abdullah Al-Faisal Stadium,Jeddah,9,2,1,,Abdulrahman Al-Jarwan,Mohammed Al-Ghamdi,Waleed Al-boaimi,Khalil Al-Ghamdi
Fri ,21/11/2008,51,7:40:00 PM,Al-Hazem,Abha,Alhazm Club Stadium,Al-Ras,9,2,1,,Mansor Al-Shamari,Abdulaziz Al-Kathiri,Hmood Al-Shamari,Saleh Al-Aqeel
Sat ,22/11/2008,52,7:40:00 PM,Al-Nassr,Al-Shabab,Prince Faisal bin Fahad Stadium,Riyadh,9,0,0,,Rene Rogalla,Matthias Arnet,NAVARRO Manuel,Mamdouh Al-Mirdasi
Sat ,22/11/2008,53,7:40:00 PM,Al-Ettifaq,Al-Hilal,Prince Mohamed bin Fahd Stadium,Dammam,9,0,2,,Abdulrahman Al-Amri,Faiz Al-Kabli,Nassir Al-Mudhaffr,Shaker Al-Twairgi
Mon ,24/11/2008,58,7:40:00 PM,Al-Ahli,Al-Watani,Prince Abdullah Al-Faisal Stadium,Jeddah,10,2,0,,Abdullah Al-Qubaisi,Yahya Al-Shahrani,Khaled Al-Degairi,Awadh Al-Amri
Wed ,26/11/2008,55,7:40:00 PM,Al-Hilal,Al-Shabab,Prince Faisal bin Fahad Stadium,Riyadh,10,2,0,,Abdulrahman Al-Jarwan,Abdulaziz Al-Asmari,Fahad Al-Amri,Abdullah Al-Qahtani
Wed ,26/11/2008,56,7:40:00 PM,Al-Ettifaq,Al-Ittihad,Prince Mohamed bin Fahd Stadium,Dammam,10,1,1,,Saad Al-Kathiri,Ibrahim Al-Debasi,Abdullah Al-Shlwi,Mansor Al-Shamari
Sun ,30/11/2008,97,7:40:00 PM,Al-Hilal,Al-Hazem,Prince Faisal bin Fahad Stadium,Riyadh,17,3,0,,Abdullah Al-Qahtani,Abdulaziz Al-Asmari,Abdullah Al-Shlwi,Saad Al-Kathiri
Sun ,30/11/2008,98,7:40:00 PM,Al-Raed,Al-Shabab,King Abdullah Sport City Stadium,Buraidah,17,0,4,,Abdulrahman Al-Amri,Nassir Al-Mudhaffr,Ziad Al-Mansor,Abdulrahman Al-Jarwan
Sun ,30/11/2008,99,7:40:00 PM,Al-Ettifaq,Najran,Prince Mohamed bin Fahd Stadium,Dammam,17,1,1,,Abbas Ibrahim,Ibrahim Al-Nami,Yahya Al-Meteq,Abdulelah Al-Mousa
Sun ,30/11/2008,100,7:40:00 PM,Al-Ittihad,Abha,Prince Abdullah Al-Faisal Stadium,Jeddah,17,3,0,,Mamdouh Al-Mirdasi,Bader Al-Shamrani,Saleh Al-Mutairi,Sami Al-Nemri
Thu ,04/12/2008,61,7:40:00 PM,Al-Shabab,Abha,Prince Faisal bin Fahad Stadium,Riyadh,11,5,0,,Meree Al-Awagi,Yousef Merza,Sultan Al-Khaldi,Fahad Al-Mirdasi
Thu ,04/12/2008,62,7:40:00 PM,Al-Raed,Al-Ettifaq,King Abdullah Sport City Stadium,Buraidah,11,1,2,,Metref Al-Qahtani,Mohammed Al-Ghamdi,Abdullah Asiri,Saleh Al-Aqeel
Thu ,04/12/2008,64,7:40:00 PM,Al-Watani,Al-Wehda,King Khalid Sport City Stadium,Tabuk,11,0,2,,Yaseer Madani,Abdulaziz Al-Howimel,Moaid Al-Sayeg,Dhafer Al-Qarni
Thu ,04/12/2008,65,7:40:00 PM,Al-Ittihad,Al-Hilal,Prince Abdullah Al-Faisal Stadium,Jeddah,11,0,0,,Carlo Bertolini,Stephane Cuhat,Antonio Fernandez,Abdulrahman Al-Amri
Thu ,11/12/2008,67,3:05:00 PM,Al-Hilal,Abha,Prince Faisal bin Fahad Stadium,Riyadh,12,4,1,,Khalid Al-Zahrani,Abdulaziz Al-Kathiri,Waleed Al-boaimi,Abdulaziz Al-Funaitel
Thu ,11/12/2008,68,3:15:00 PM,Al-Raed,Al-Ittihad,King Abdullah Sport City Stadium,Buraidah,12,0,2,,Abdullah Al-Qahtani,Abdullah Al-Shlwi,Hmood Al-Shamari,Abdulrahman Al-Jarwan
Thu ,11/12/2008,72,3:15:00 PM,Al-Hazem,Al-Wehda,Alhazm Club Stadium,Al-Ras,12,3,1,,Metref Al-Qahtani,Ahmed Fakihi,Nawaf Al-Otaibi,Saleh Al-Aqeel
Thu ,11/12/2008,70,3:40:00 PM,Al-Watani,Al-Ettifaq,King Khalid Sport City Stadium,Tabuk,12,0,1,,Abdelrahman Al-Qahtani,Yahya Al-Shahrani,Sultan Al-Khaldi,Fardan Al-Qahtani
Thu ,11/12/2008,69,7:35:00 PM,Najran,Al-Shabab,AlAkhdoud Club Stadium,Najran,12,0,2,,Daffer Al-Shehri,Abdulwahab Al-Zahrani,Abdulaziz Al-Howimel,Saleh Al-Sqoor
Thu ,11/12/2008,71,7:35:00 PM,Al-Ahli,Al-Nassr,Prince Abdullah Al-Faisal Stadium,Jeddah,12,2,0,,Meree Al-Awagi,Yousef Merza,Ibrahim Al-Nami,Khalil Al-Ghamdi
Mon ,15/12/2008,74,7:40:00 PM,Al-Shabab,Al-Ahli,Prince Faisal bin Fahad Stadium,Riyadh,13,3,2,,Saad Al-Kathiri,Nassir Al-Mudhaffr,Khaled Al-Degairi,Metref Al-Qahtani
Mon ,15/12/2008,76,7:40:00 PM,Al-Raed,Al-Hilal,King Abdullah Sport City Stadium,Buraidah,13,0,2,,Abbas Ibrahim,Yousef Merza,Bader Al-Shamrani,Saleh Al-Aqeel
Mon ,15/12/2008,77,7:40:00 PM,Abha,Najran,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,13,1,0,,Mansor Al-Shamari,Faiz Al-Kabli,Fahad Al-Amri,Abdullah Al-Qubaisi
Mon ,15/12/2008,78,7:40:00 PM,Al-Ittihad,Al-Watani,Prince Abdullah Al-Faisal Stadium,Jeddah,13,7,2,,Khalil Al-Ghamdi,Mohammed Al-Ghamdi,Yahya Al-Meteq,Awadh Al-Amri
Fri ,19/12/2008,79,3:10:00 PM,Al-Nassr,Al-Ettifaq,Prince Faisal bin Fahad Stadium,Riyadh,14,1,0,,Abdulrahman Al-Amri,Ibrahim Al-Debasi,Abdulaziz Al-Asmari,Abdulaziz Al-Funaitel
Fri ,19/12/2008,81,3:45:00 PM,Al-Watani,Al-Raed,King Khalid Sport City Stadium,Tabuk,14,3,1,,Daffer Al-Shehri,Nassir Al-Mudhaffr,Adnan Al-Beteh,Abdullah Al-Garboue
Fri ,19/12/2008,80,7:40:00 PM,Al-Wehda,Al-Shabab,King Abdul Aziz Sport City Stadium,Makkah,14,1,1,,Khalid Al-Zahrani,Faiz Al-Kabli,Abdullah Asiri,Awadh Al-Amri
Fri ,19/12/2008,82,7:40:00 PM,Al-Ahli,Abha,Prince Abdullah Al-Faisal Stadium,Jeddah,14,2,1,,Yaseer Madani,Moaid Al-Sayeg,Saleh Al-Mutairi,Sami Al-Nemri
Sat ,20/12/2008,83,3:15:00 PM,Al-Hazem,Al-Ittihad,Alhazm Club Stadium,Al-Ras,14,3,3,,Abdullah Al-Qubaisi,Sultan Al-Khaldi,Waleed Al-boaimi,Saleh Al-Aqeel
Sat ,20/12/2008,84,7:40:00 PM,Al-Hilal,Najran,Prince Faisal bin Fahad Stadium,Riyadh,14,7,0,,Abdulrahman Al-Jarwan,Abdulaziz Al-Kathiri,Abdullah Al-Shlwi,Meree Al-Awagi
Mon ,19/01/2009,85,8:00:00 PM,Al-Hilal,Al-Watani,Prince Faisal bin Fahad Stadium,Riyadh,15,0,0,,Mansor Al-Shamari,Ibrahim Al-Debasi,Khaled Al-Degairi,Abdullah Al-Qahtani
Mon ,19/01/2009,86,8:00:00 PM,Al-Wehda,Abha,King Abdul Aziz Sport City Stadium,Makkah,15,4,1,,Mamdouh Al-Mirdasi,Ibrahim Al-Nami,Sultan Al-Khaldi,Sami Al-Nemri
Mon ,19/01/2009,87,8:00:00 PM,Al-Ettifaq,Al-Shabab,Prince Mohamed bin Fahd Stadium,Dammam,15,2,1,,Abdulrahman Al-Amri,Faiz Al-Kabli,Bader Al-Shamrani,Abdulelah Al-Mousa
Mon ,19/01/2009,88,8:00:00 PM,Al-Raed,Al-Hazem,King Abdullah Sport City Stadium,Buraidah,15,1,0,,Saad Al-Kathiri,Abdulaziz Al-Asmari,Ahmed Fakihi,Saleh Al-Aqeel
Mon ,19/01/2009,89,8:00:00 PM,Najran,Al-Ahli,AlAkhdoud Club Stadium,Najran,15,1,4,,Metref Al-Qahtani,Nassir Al-Mudhaffr,Adnan Al-Beteh,Abdelrahman Al-Qahtani
Mon ,19/01/2009,90,8:00:00 PM,Al-Ittihad,Al-Nassr,Prince Abdullah Al-Faisal Stadium,Jeddah,15,1,0,,Abdulrahman Al-Jarwan,Abdullah Al-Abad,Abdulaziz Al-Kathiri,Awadh Al-Amri
Fri ,23/01/2009,110,3:40:00 PM,Al-Raed,Najran,King Abdullah Sport City Stadium,Buraidah,19,0,1,,Mansor Al-Shamari,Yousef Merza,Abdulwahab Al-Zahrani,Saleh Al-Aqeel
Fri ,23/01/2009,111,3:40:00 PM,Al-Hazem,Al-Shabab,Alhazm Club Stadium,Al-Ras,19,1,1,,Meree Al-Awagi,Ibrahim Al-Nami,Abdulaziz Al-Asmari,Abdulrahman Al-Jarwan
Fri ,23/01/2009,109,8:00:00 PM,Al-Nassr,Al-Hilal,King Fahad International Stadium,Riyadh,19,0,2,,Paul Allaerts,Gilon Dirk,GERARD Michaël,Mamdouh Al-Mirdasi
Sat ,24/01/2009,113,8:00:00 PM,Al-Ettifaq,Al-Wehda,Prince Mohamed bin Fahd Stadium,Dammam,19,4,0,,Fahad Al-Mirdasi,Ibrahim Al-Debasi,Nassir Al-Mudhaffr,Fahad Al-Oraini
Sat ,24/01/2009,114,8:00:00 PM,Al-Ittihad,Al-Ahli,Prince Abdullah Al-Faisal Stadium,Jeddah,19,1,2,,Johan Verbist,Eric Thiry,Patrick Plumes,Abdulrahman Al-Amri
Wed ,28/01/2009,91,8:05:00 PM,Al-Shabab,Al-Ittihad,King Fahad International Stadium,Riyadh,16,0,4,,Carlos Carballo,Alonso Roberto Fernandez,Enrique Samper,Daffer Al-Shehri
Wed ,28/01/2009,92,8:05:00 PM,Al-Nassr,Al-Raed,Prince Faisal bin Fahad Stadium,Riyadh,16,1,0,,Abdelrahman Al-Qahtani,Abdullah Al-Abad,Yahya Al-Shahrani,Meree Al-Awagi
Wed ,28/01/2009,93,8:05:00 PM,Najran,Al-Wehda,AlAkhdoud Club Stadium,Najran,16,2,2,,Mamdouh Al-Mirdasi,Faiz Al-Kabli,Ahmed Fakihi,Mohammed Al-Harthi
Wed ,28/01/2009,94,8:05:00 PM,Abha,Al-Ettifaq,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,16,1,0,,Abdullah Al-Qahtani,Nassir Al-Mudhaffr,Waleed Al-boaimi,Abdullah Al-Qubaisi
Wed ,28/01/2009,95,8:05:00 PM,Al-Ahli,Al-Hilal,Prince Abdullah Al-Faisal Stadium,Jeddah,16,0,1,,BRYCH Felix,Volker Wezel,Detlef Scheppe,Khalil Al-Ghamdi
Wed ,28/01/2009,96,8:05:00 PM,Al-Hazem,Al-Watani,Alhazm Club Stadium,Al-Ras,16,3,0,,Yaseer Madani,Abdulaziz Al-Kathiri,Moaid Al-Sayeg,Abdulrahman Al-Jarwan
Thu ,05/02/2009,75,8:30:00 PM,Al-Ettifaq,Al-Hazem,Prince Mohamed bin Fahd Stadium,Dammam,13,0,0,,Mamdouh Al-Mirdasi,Abdullah Al-Abad,Fahad Al-Amri,Fahad Al-Oraini
Thu ,05/03/2009,101,8:25:00 PM,Al-Watani,Al-Nassr,King Khalid Sport City Stadium,Tabuk,17,1,2,,Saad Al-Kathiri,Yousef Merza,Sultan Al-Khaldi,Fardan Al-Qahtani
Thu ,05/03/2009,102,8:25:00 PM,Al-Wehda,Al-Ahli,King Abdul Aziz Sport City Stadium,Makkah,17,0,2,,Meree Al-Awagi,Ibrahim Al-Debasi,Abdulaziz Al-Asmari,Sami Al-Nemri
Thu ,05/03/2009,121,8:25:00 PM,Al-Shabab,Al-Hilal,Prince Faisal bin Fahad Stadium,Riyadh,21,1,1,,BRYCH Felix,Detlef Scheppe,Tobias Christ,Abdullah Al-Qahtani
Thu ,05/03/2009,122,8:25:00 PM,Al-Ittihad,Al-Ettifaq,Prince Mohamed bin Fahd Stadium,Dammam,21,3,0,,Babak Rafati,Kai Voss,Christian Dingert,Abbas Ibrahim
Thu ,12/03/2009,45,8:30:00 PM,Najran,Al-Raed,AlAkhdoud Club Stadium,Najran,8,2,1,,Abdulrahman Al-Amri,Nassir Al-Mudhaffr,Adnan Al-Beteh,Mohammed Al-Harthi
Thu ,12/03/2009,66,8:30:00 PM,Al-Hazem,Al-Ahli,Alhazm Club Stadium,Al-Ras,11,1,1,,Abdullah Al-Qahtani,Abdullah Al-Abad,Nawaf Al-Otaibi,Abdulrahman Al-Jarwan
Thu ,12/03/2009,112,8:30:00 PM,Al-Watani,Abha,King Khalid Sport City Stadium,Tabuk,19,0,0,,Mamdouh Al-Mirdasi,Abdullah Al-Shlwi,Saleh Al-Mutairi,Dhafer Al-Qarni
Tue ,17/03/2009,54,8:30:00 PM,Al-Raed,Al-Ahli,King Abdullah Sport City Stadium,Buraidah,9,2,3,,Abbas Ibrahim,Abdulaziz Al-Kathiri,Hmood Al-Shamari,Saleh Al-Aqeel
Wed ,18/03/2009,73,8:30:00 PM,Al-Nassr,Al-Wehda,Prince Faisal bin Fahad Stadium,Riyadh,13,3,1,,Mamdouh Al-Mirdasi,Moaid Al-Sayeg,Abdullah Al-Shlwi,Abdulaziz Al-Funaitel
Mon ,23/03/2009,103,8:25:00 PM,Al-Shabab,Al-Watani,Prince Faisal bin Fahad Stadium,Riyadh,18,2,2,,Khalid Al-Zahrani,Mohammed Al-Ghamdi,Yahya Al-Meteq,Meree Al-Awagi
Mon ,23/03/2009,104,8:25:00 PM,Al-Wehda,Al-Hilal,King Abdul Aziz Sport City Stadium,Makkah,18,0,1,,KAKOS Anastasios,TRYFONAS Spyridon,Konstantinos Dallas,Sami Al-Nemri
Mon ,23/03/2009,105,8:25:00 PM,Najran,Al-Ittihad,AlAkhdoud Club Stadium,Najran,18,1,4,,Abbas Ibrahim,Abdullah Al-Abad,Abdulwahab Al-Zahrani,Saleh Al-Sqoor
Mon ,23/03/2009,106,8:25:00 PM,Abha,Al-Raed,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,18,0,1,,Khalil Al-Ghamdi,Fahad Al-Amri,Mohammed Khmash,Ali Al-Amri
Mon ,23/03/2009,107,8:25:00 PM,Al-Hazem,Al-Nassr,Alhazm Club Stadium,Al-Ras,18,1,0,,Fahad Al-Mirdasi,Yousef Merza,Abdulaziz Al-Asmari,Saleh Al-Aqeel
Mon ,23/03/2009,108,8:25:00 PM,Al-Ettifaq,Al-Ahli,Prince Mohamed bin Fahd Stadium,Dammam,18,0,0,,Abdulrahman Al-Amri,Ibrahim Al-Nami,Abdulaziz Al-Howimel,Fahad Al-Oraini
Sun ,29/03/2009,57,8:20:00 PM,Abha,Al-Nassr,Prince Sultan Bin Abdul Aziz Sport City Stadium,Abha,10,2,2,,Meree Al-Awagi,Ibrahim Al-Nami,Bader Al-Shamrani,Abdullah Al-Qubaisi
