matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
93,21.01.2002,20:00,Al-Shoalah,Al Ahli SC,0,2,
94,21.01.2002,20:00,Al-Shabab,Al-Hilal,1,2,
95,21.01.2002,20:00,Al Najma,Al-Ittihad FC,2,3,
96,21.01.2002,20:00,Al Ansar,Al-Ettifaq,2,2,
97,29.01.2002,20:00,Al-Hilal,Al Najma,3,2,
98,11.02.2002,20:00,Al-Hilal,Al Ansar,5,2,
99,11.02.2002,20:00,Al Taee,Al Ahli SC,0,0,
100,12.02.2002,20:00,Al-Shoalah,Al-Nassr,0,1,
101,12.02.2002,20:00,Al-Ittihad FC,Al-Shabab,3,2,
102,12.02.2002,20:00,Al Riyadh,Al Wehda,3,1,
103,27.02.2002,20:00,Al-Shabab,Al Riyadh,1,1,
104,28.02.2002,20:00,Al-Shoalah,Al Taee,1,1,
105,28.02.2002,20:00,Al-Nassr,Al Najma,4,1,
106,28.02.2002,20:00,Al Wehda,Al Ahli SC,1,2,
107,05.03.2002,20:00,Al-Shabab,Al Ahli SC,1,3,
108,06.03.2002,20:00,Al-Ittihad FC,Al Riyadh,10,3,
109,06.03.2002,20:00,Al Taee,Al Najma,0,1,
110,07.03.2002,20:00,Al-Ettifaq,Al-Nassr,0,1,
111,07.03.2002,20:00,Al Wehda,Al-Shoalah,2,0,
112,13.03.2002,20:00,Al-Nassr,Al Ansar,3,1,
113,13.03.2002,20:00,Al Taee,Al-Ettifaq,1,1,
114,14.03.2002,20:00,Al Wehda,Al Najma,4,4,
115,15.03.2002,20:00,Al-Shoalah,Al-Shabab,1,4,
116,16.03.2002,20:00,Al-Hilal,Al-Ittihad FC,1,1,
117,20.03.2002,20:00,Al Riyadh,Al-Shoalah,0,3,
118,20.03.2002,20:00,Al Ansar,Al Taee,0,7,
119,21.03.2002,20:00,Al-Nassr,Al-Hilal,3,2,
120,21.03.2002,20:00,Al-Ettifaq,Al Wehda,2,1,
121,21.03.2002,20:00,Al Najma,Al-Shabab,4,3,
122,28.03.2002,20:00,Al Wehda,Al Ansar,3,2,
123,28.03.2002,20:00,Al Najma,Al Riyadh,2,1,
124,28.03.2002,20:00,Al Ahli SC,Al-Shoalah,1,1,
125,29.03.2002,20:00,Al-Shabab,Al-Ettifaq,1,1,
126,29.03.2002,20:00,Al-Ittihad FC,Al-Nassr,3,2,
127,03.04.2002,19:00,Al Riyadh,Al Ahli SC,1,1,
128,05.04.2002,19:00,Al-Ettifaq,Al-Shabab,2,1,
129,06.04.2002,19:00,Al Ansar,Al-Hilal,1,6,
130,08.04.2002,19:00,Al-Ittihad FC,Al Ahli SC,4,1,
131,09.04.2002,19:00,Al-Nassr,Al-Shabab,0,0,
132,10.04.2002,19:00,Al-Hilal,Al Taee,6,0,
134,14.04.2002,14:00,Al-Nassr,Al Ahli SC,1,0,Quarter-finals
135,19.04.2002,14:00,Al-Ittihad FC,Al-Nassr,2,1,Semi-finals
136,01.05.2002,14:00,Al-Hilal,Al-Ittihad FC,2,1,Final
