matchNo,Round,Date,Time,Team1,Team2,Score1,Score2
1,1,02.08.2012,22:00,Al-Fateh,Al-Nassr,1,1
2,1,02.08.2012,22:00,Al-Ettifaq,Al Wehda,1,1
3,1,02.08.2012,22:15,Al-Shabab,Najran,4,0
4,1,02.08.2012,22:20,Al-Ittihad FC,Al-Raed,2,2
5,1,02.08.2012,22:30,Al Ahli SC,Al-Shoalah,5,0
6,1,03.08.2012,22:00,Hajer,Al-Hilal,2,2
7,1,03.08.2012,22:20,Al-Taawon,Al-Faisaly,2,0
8,2,06.08.2012,22:15,Al-Nassr,Al-Raed,4,0
9,2,06.08.2012,22:20,Al-Ittihad FC,Al-Ettifaq,3,0
10,2,06.08.2012,22:30,Al Wehda,Al-Shoalah,2,3
11,2,07.08.2012,22:15,Najran,Hajer,2,2
12,2,07.08.2012,22:15,Al-Hilal,Al-Fateh,1,2
13,2,07.08.2012,22:15,Al-Faisaly,Al-Shabab,1,3
14,3,23.08.2012,20:40,Najran,Al-Hilal,0,6
15,3,23.08.2012,20:40,Al-Shoalah,Al-Fateh,2,3
16,3,23.08.2012,20:40,Al-Raed,Al-Faisaly,1,0
17,3,23.08.2012,20:40,Al-Nassr,Al-Ittihad FC,0,1
18,3,23.08.2012,20:40,Al-Ettifaq,Al-Taawon,2,0
19,3,24.08.2012,20:40,Hajer,Al Wehda,2,0
20,3,24.08.2012,20:40,Al-Shabab,Al Ahli SC,2,2
21,4,27.08.2012,20:40,Al-Taawon,Al-Nassr,1,2
22,4,27.08.2012,20:40,Al-Shoalah,Najran,1,5
23,4,27.08.2012,20:40,Al-Ittihad FC,Al-Faisaly,2,2
24,4,27.08.2012,20:40,Al-Hilal,Al-Ettifaq,1,1
25,4,28.08.2012,20:40,Al-Fateh,Al-Raed,2,1
26,4,28.08.2012,20:40,Al Wehda,Al-Shabab,2,5
27,4,28.08.2012,20:40,Al Ahli SC,Hajer,0,0
28,5,01.09.2012,20:35,Al-Nassr,Al-Hilal,1,3
29,5,01.09.2012,20:35,Al-Faisaly,Al-Shoalah,0,2
30,5,02.09.2012,20:35,Najran,Al-Ettifaq,1,0
31,5,02.09.2012,20:35,Hajer,Al-Ittihad FC,0,2
32,5,02.09.2012,20:35,Al-Shabab,Al-Fateh,2,4
33,5,02.09.2012,20:35,Al-Raed,Al-Taawon,1,0
34,5,02.09.2012,20:35,Al Ahli SC,Al Wehda,2,1
35,6,14.09.2012,20:25,Al-Taawon,Al-Fateh,0,1
36,6,14.09.2012,20:25,Al-Shoalah,Al-Hilal,1,3
37,6,14.09.2012,20:25,Al-Ettifaq,Al-Faisaly,1,1
38,6,15.09.2012,20:25,Al-Raed,Al-Shabab,0,1
39,6,15.09.2012,20:25,Al-Nassr,Hajer,1,0
40,6,15.09.2012,20:25,Al Wehda,Najran,1,2
41,7,21.09.2012,20:15,Hajer,Al-Raed,1,2
42,7,21.09.2012,20:15,Al-Shoalah,Al-Taawon,1,0
43,7,22.09.2012,20:15,Al-Fateh,Najran,4,2
44,7,24.09.2012,20:15,Al-Ittihad FC,Al Wehda,1,0
45,7,24.09.2012,20:15,Al-Hilal,Al-Shabab,3,0
46,7,24.09.2012,20:15,Al-Faisaly,Al Ahli SC,0,3
47,8,28.09.2012,20:10,Najran,Al-Taawon,1,1
48,8,28.09.2012,20:10,Hajer,Al-Faisaly,3,3
49,8,28.09.2012,20:10,Al-Shabab,Al-Shoalah,2,1
50,8,28.09.2012,20:10,Al-Hilal,Al-Raed,6,0
51,8,29.09.2012,20:10,Al-Nassr,Al Wehda,3,1
52,9,04.10.2012,20:00,Al-Raed,Al-Shoalah,2,2
53,9,04.10.2012,20:00,Al-Faisaly,Al-Fateh,0,0
54,9,05.10.2012,20:00,Al-Shabab,Al-Nassr,2,1
55,9,07.10.2012,20:00,Najran,Al Ahli SC,2,0
56,9,07.10.2012,20:00,Al-Taawon,Al-Ittihad FC,3,3
57,9,07.10.2012,20:00,Al-Ettifaq,Hajer,3,1
58,9,07.10.2012,20:00,Al Wehda,Al-Hilal,1,2
59,10,19.10.2012,19:50,Al-Shoalah,Al-Ettifaq,0,1
60,10,19.10.2012,19:50,Al-Fateh,Hajer,3,0
61,10,19.10.2012,19:50,Al-Faisaly,Al Wehda,4,3
62,10,20.10.2012,19:50,Al-Taawon,Al-Shabab,0,1
63,10,20.10.2012,19:50,Al-Nassr,Najran,1,1
64,11,01.11.2012,19:40,Al-Hilal,Al-Faisaly,1,0
65,11,01.11.2012,19:40,Al-Ettifaq,Al-Shabab,3,1
66,11,02.11.2012,19:40,Hajer,Al-Taawon,0,1
67,11,02.11.2012,19:40,Al-Nassr,Al-Shoalah,3,1
68,11,04.11.2012,19:40,Najran,Al-Ittihad FC,2,0
69,11,04.11.2012,19:40,Al Wehda,Al-Raed,0,1
70,12,08.11.2012,19:40,Al-Shoalah,Hajer,0,0
71,12,09.11.2012,19:40,Najran,Al-Faisaly,0,1
72,12,09.11.2012,19:40,Al-Fateh,Al Wehda,3,1
73,12,09.11.2012,19:40,Al-Ettifaq,Al-Raed,1,0
74,12,10.11.2012,19:40,Al-Taawon,Al-Hilal,1,4
75,12,10.11.2012,19:40,Al-Shabab,Al-Ittihad FC,2,2
76,2,17.11.2012,19:35,Al-Taawon,Al Ahli SC,2,1
77,8,17.11.2012,19:35,Al-Fateh,Al-Ittihad FC,2,1
78,7,17.11.2012,19:35,Al-Ettifaq,Al-Nassr,1,3
79,13,21.11.2012,19:35,Al-Hilal,Al Ahli SC,4,1
80,13,21.11.2012,19:35,Al-Fateh,Al-Ettifaq,1,0
81,13,21.11.2012,19:35,Al Wehda,Al-Taawon,1,1
82,13,22.11.2012,19:35,Hajer,Al-Shabab,1,2
83,13,22.11.2012,19:35,Al-Raed,Najran,1,1
84,13,22.11.2012,19:35,Al-Ittihad FC,Al-Shoalah,1,0
85,13,22.11.2012,19:35,Al-Faisaly,Al-Nassr,1,2
86,8,26.11.2012,19:35,Al Ahli SC,Al-Ettifaq,0,2
87,14,29.11.2012,19:35,Najran,Al-Shabab,2,3
88,6,30.11.2012,19:45,Al-Ittihad FC,Al Ahli SC,1,3
89,14,04.12.2012,19:35,Al-Shoalah,Al Ahli SC,1,3
90,14,04.12.2012,19:35,Al-Ittihad FC,Al-Raed,2,2
91,14,04.12.2012,19:35,Al-Hilal,Hajer,2,0
92,14,06.12.2012,15:10,Al-Faisaly,Al-Taawon,2,1
93,14,06.12.2012,19:35,Al Wehda,Al-Ettifaq,0,3
