matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
47,25.11.2006,19:40,Al-Ettifaq,Al-Shabab,3,3,
48,30.11.2006,19:40,Al-Hazem,Al-Faisaly,0,1,
49,30.11.2006,19:40,Al Wehda,Al Taee,1,0,
50,01.12.2006,19:40,Al Khaleej,Al Qadisiya,1,2,
51,02.12.2006,19:40,Al-Shabab,Al Ahli SC,0,2,
52,03.12.2006,19:40,Al-Ittihad FC,Al-Ettifaq,1,1,
53,03.12.2006,19:40,Al-Hilal,Al-Nassr,2,1,
54,07.12.2006,19:33,Al Taee,Al-Hazem,2,2,
55,07.12.2006,19:40,Al Qadisiya,Al Wehda,1,3,
56,07.12.2006,19:40,Al Ahli SC,Al-Hilal,2,3,
57,08.12.2006,19:40,Al-Shabab,Al-Ittihad FC,3,1,
58,08.12.2006,19:40,Al-Faisaly,Al-Ettifaq,0,3,
59,08.12.2006,19:40,Al Khaleej,Al-Nassr,1,1,
60,14.12.2006,17:50,Al Ahli SC,Al Khaleej,1,1,
61,14.12.2006,19:40,Al-Hilal,Al-Shabab,4,0,
62,14.12.2006,19:40,Al-Hazem,Al Qadisiya,2,3,
63,14.12.2006,19:40,Al-Ettifaq,Al Taee,2,2,
64,15.12.2006,19:40,Al-Faisaly,Al-Ittihad FC,1,5,
65,16.12.2006,19:40,Al-Nassr,Al Wehda,2,3,
66,19.12.2006,19:40,Al-Ettifaq,Al Qadisiya,0,0,
67,20.12.2006,15:30,Al Taee,Al-Ittihad FC,0,1,
68,20.12.2006,19:30,Al-Faisaly,Al-Shabab,1,0,
69,20.12.2006,19:40,Al Khaleej,Al-Hilal,0,0,
70,25.12.2006,19:40,Al-Hilal,Al Wehda,0,0,
71,25.12.2006,19:40,Al Ahli SC,Al-Hazem,3,2,
72,26.12.2006,19:35,Al-Shabab,Al Khaleej,3,1,
73,26.12.2006,19:35,Al Taee,Al-Faisaly,1,1,
74,26.12.2006,19:40,Al-Ittihad FC,Al-Nassr,3,0,
75,03.01.2007,19:40,Al-Shabab,Al Taee,1,1,
76,03.01.2007,19:40,Al Qadisiya,Al-Ittihad FC,1,0,
77,03.01.2007,19:40,Al Khaleej,Al Wehda,0,2,
78,03.01.2007,19:48,Al-Hazem,Al-Hilal,2,0,
79,04.02.2007,19:40,Al-Hazem,Al-Nassr,2,1,
80,04.02.2007,19:40,Al Wehda,Al Ahli SC,1,0,
81,07.02.2007,19:40,Al-Hilal,Al-Ettifaq,2,1,
82,07.02.2007,19:40,Al Qadisiya,Al Taee,0,2,
83,08.02.2007,20:00,Al-Nassr,Al-Faisaly,1,1,
84,10.02.2007,20:10,Al Wehda,Al-Shabab,1,0,
85,10.02.2007,20:10,Al Khaleej,Al-Hazem,1,0,
86,15.02.2007,20:10,Al-Hazem,Al Wehda,2,2,
87,15.02.2007,20:15,Al-Ettifaq,Al Khaleej,2,0,
88,15.02.2007,20:20,Al-Shabab,Al Qadisiya,3,0,
89,16.02.2007,20:10,Al-Ittihad FC,Al-Hilal,1,2,
90,17.02.2007,16:00,Al Taee,Al-Nassr,0,2,
91,17.02.2007,20:10,Al-Faisaly,Al Ahli SC,1,1,
92,08.03.2007,20:25,Al Wehda,Al-Ettifaq,2,1,
93,08.03.2007,20:25,Al Khaleej,Al-Ittihad FC,2,8,
94,09.03.2007,20:25,Al Qadisiya,Al-Nassr,1,2,
95,09.03.2007,20:25,Al Ahli SC,Al Taee,3,2,
96,11.03.2007,20:10,Al-Hilal,Al-Faisaly,2,0,
97,12.03.2007,20:10,Al-Hazem,Al-Shabab,1,3,
98,15.03.2007,20:10,Al Qadisiya,Al Ahli SC,0,1,
99,16.03.2007,20:10,Al-Ittihad FC,Al Wehda,1,0,
100,16.03.2007,20:10,Al-Faisaly,Al Khaleej,1,4,
101,17.03.2007,20:10,Al-Nassr,Al-Shabab,0,3,
102,17.03.2007,20:10,Al-Ettifaq,Al-Hazem,0,3,
103,22.03.2007,20:10,Al-Nassr,Al-Ettifaq,3,3,
104,22.03.2007,20:10,Al-Ittihad FC,Al Ahli SC,3,0,
105,22.03.2007,20:10,Al-Faisaly,Al Qadisiya,0,2,
106,26.03.2007,20:00,Al Khaleej,Al Taee,1,2,
107,26.03.2007,20:10,Al-Shabab,Al-Ettifaq,2,0,
108,26.03.2007,20:10,Al-Hilal,Al Qadisiya,3,0,
109,27.03.2007,20:20,Al-Hazem,Al-Ittihad FC,1,2,
110,27.03.2007,20:20,Al Wehda,Al-Faisaly,1,1,
111,27.03.2007,20:30,Al Ahli SC,Al-Nassr,1,1,
112,31.03.2007,16:00,Al Taee,Al-Hilal,0,2,
113,11.04.2007,20:20,Al-Ettifaq,Al Ahli SC,2,2,
114,12.04.2007,20:20,Al Taee,Al Wehda,1,4,
115,12.04.2007,20:20,Al Qadisiya,Al Khaleej,1,1,
116,13.04.2007,20:20,Al-Faisaly,Al-Hazem,4,2,
117,15.04.2007,20:20,Al-Nassr,Al-Hilal,0,1,
118,15.04.2007,20:20,Al-Ettifaq,Al-Ittihad FC,2,3,
119,15.04.2007,20:20,Al Ahli SC,Al-Shabab,1,5,
120,26.04.2007,20:35,Al-Hazem,Al Taee,2,1,
121,26.04.2007,20:35,Al-Ettifaq,Al-Faisaly,4,2,
122,26.04.2007,20:35,Al Wehda,Al Qadisiya,2,2,
123,26.04.2007,20:42,Al-Nassr,Al Khaleej,0,0,
124,30.04.2007,20:35,Al-Ittihad FC,Al-Shabab,2,1,
125,30.04.2007,20:35,Al-Hilal,Al Ahli SC,3,0,
126,04.05.2007,20:45,Al-Shabab,Al-Hilal,3,1,
127,04.05.2007,20:45,Al Ahli SC,Al-Ittihad FC,1,1,
128,10.05.2007,20:45,Al-Ittihad FC,Al-Faisaly,5,2,
129,10.05.2007,20:45,Al Wehda,Al-Nassr,2,0,
130,10.05.2007,20:45,Al Taee,Al-Ettifaq,1,0,
131,10.05.2007,20:45,Al Qadisiya,Al-Hazem,0,0,
132,10.05.2007,20:45,Al Khaleej,Al Ahli SC,1,1,
133,18.05.2007,19:00,Al Wehda,Al-Shabab,2,1,Quarter-finals
134,24.05.2007,19:00,Al-Ittihad FC,Al Wehda,3,2,Semi-finals
135,01.06.2007,19:00,Al-Hilal,Al-Ittihad FC,1,2,Final
