matchNo,Date,Time,Team1,Team2,Score1,Score2,Note
1,05.09.2006,20:40,Al-Shabab,Al-Faisaly,2,1,
2,08.09.2006,20:40,Al-Nassr,Al-Hazem,3,1,
3,09.09.2006,20:40,Al-Ittihad FC,Al Taee,3,2,
4,11.09.2006,20:40,Al Ahli SC,Al Wehda,2,0,
5,12.09.2006,20:40,Al-Ettifaq,Al-Nassr,2,1,
6,14.09.2006,20:40,Al-Hilal,Al Khaleej,3,0,
7,17.09.2006,20:40,Al Qadisiya,Al-Ettifaq,2,1,
8,20.09.2006,20:40,Al-Faisaly,Al Taee,0,2,
9,20.09.2006,20:40,Al Wehda,Al-Hilal,2,1,
10,23.09.2006,20:40,Al-Hazem,Al Ahli SC,2,1,
11,26.09.2006,22:00,Al Wehda,Al Khaleej,4,3,
12,26.09.2006,22:00,Al Taee,Al-Shabab,4,2,
13,28.09.2006,22:00,Al-Nassr,Al-Ittihad FC,1,3,
14,28.09.2006,22:00,Al Qadisiya,Al-Faisaly,1,3,
15,29.09.2006,22:15,Al-Hilal,Al-Hazem,1,0,
16,29.09.2006,22:15,Al Ahli SC,Al-Ettifaq,1,1,
17,01.10.2006,22:00,Al Khaleej,Al-Shabab,0,1,
18,04.10.2006,22:00,Al Taee,Al Qadisiya,3,3,
19,04.10.2006,22:20,Al-Nassr,Al Ahli SC,0,3,
20,04.10.2006,22:22,Al-Ettifaq,Al-Hilal,0,1,
21,05.10.2006,22:18,Al-Shabab,Al Wehda,3,1,
22,06.10.2006,22:20,Al-Hazem,Al Khaleej,1,0,
23,08.10.2006,22:19,Al-Ittihad FC,Al Qadisiya,2,1,
24,26.10.2006,20:40,Al Khaleej,Al-Ettifaq,2,5,
25,28.10.2006,19:40,Al-Nassr,Al Taee,1,0,
26,28.10.2006,19:40,Al Ahli SC,Al-Faisaly,0,0,
27,29.10.2006,19:40,Al-Hilal,Al-Ittihad FC,2,1,
28,29.10.2006,19:40,Al Wehda,Al-Hazem,5,2,
29,29.10.2006,19:40,Al Qadisiya,Al-Shabab,1,3,
30,03.11.2006,15:30,Al Taee,Al Ahli SC,4,2,
31,03.11.2006,19:40,Al-Nassr,Al Qadisiya,2,1,
32,03.11.2006,19:40,Al-Ittihad FC,Al Khaleej,2,0,
33,04.11.2006,19:40,Al-Shabab,Al-Hazem,2,1,
34,04.11.2006,19:40,Al-Faisaly,Al-Hilal,0,1,
35,04.11.2006,19:40,Al-Ettifaq,Al Wehda,0,1,
36,09.11.2006,15:30,Al-Hilal,Al Taee,3,2,
37,09.11.2006,19:36,Al Khaleej,Al-Faisaly,1,0,
38,09.11.2006,19:37,Al-Hazem,Al-Ettifaq,0,1,
39,09.11.2006,19:37,Al Ahli SC,Al Qadisiya,1,0,
40,10.11.2006,19:40,Al-Shabab,Al-Nassr,2,0,
41,10.11.2006,19:40,Al Wehda,Al-Ittihad FC,2,2,
42,16.11.2006,19:40,Al-Faisaly,Al-Nassr,2,2,
43,22.11.2006,19:40,Al-Faisaly,Al Wehda,1,2,
44,22.11.2006,19:40,Al Taee,Al Khaleej,0,1,
45,23.11.2006,19:40,Al Qadisiya,Al-Hilal,0,1,
46,24.11.2006,19:40,Al-Ittihad FC,Al-Hazem,2,0,
